technology	required_building_level
#technology_required_building_levels_junctions_tables;0;db/technology_required_building_levels_junctions_tables/data__	
tech_dlc14_skv_3_0_eshin	wh2_dlc14_special_skv_eshin_den
tech_dlc14_skv_8_0_eshin	wh2_dlc14_skv_eshin_assassins_2
tech_dlc16_skv_1_0_moulder	wh2_main_skv_monsters_1
wh2_dlc13_tech_emp_elector_counts_1	wh_main_emp_settlement_minor_3
wh2_dlc13_tech_emp_elector_counts_2	wh_main_special_settlement_altdorf_4_emp
wh2_main_tech_hef_1_00	wh2_main_hef_mages_1
wh2_main_tech_hef_2_00	wh2_main_hef_mages_2
wh2_main_tech_hef_2_00	wh2_main_hef_smith_2
wh2_main_tech_hef_3_00	wh2_main_hef_dragons_2
wh2_main_tech_hef_3_00	wh2_main_hef_mages_3
wh2_main_tech_hef_4_00	wh2_main_hef_embassy_1
wh2_main_tech_hef_4_01	wh2_main_hef_resource_pasture_3
wh2_main_tech_hef_4_02	wh2_main_hef_resource_animals_3
wh2_main_tech_hef_4_03	wh2_main_hef_resource_iron_3
wh2_main_tech_hef_4_04	wh2_main_hef_resource_gems_3
wh2_main_tech_hef_4_05	wh2_main_hef_resource_marble_3
wh2_main_tech_hef_4_06	wh2_main_hef_resource_medicine_3
wh2_main_tech_hef_4_07	wh2_main_hef_resource_wood_3
wh2_main_tech_hef_4_08	wh2_main_hef_resource_spices_3
wh2_main_tech_hef_4_09	wh2_main_hef_resource_salt_3
wh2_main_tech_hef_4_10	wh2_main_hef_resource_wine_3
wh2_main_tech_hef_4_11	wh2_main_hef_resource_dyes_3
wh2_main_tech_hef_4_12	wh2_main_hef_resource_pottery_3
wh2_main_tech_hef_5_00	wh2_main_hef_court_2
wh2_main_tech_hef_5_00	wh2_main_hef_worship_1
wh2_main_tech_lzd_0_1	wh2_main_lzd_scrying_1
wh2_main_tech_lzd_0_2	wh2_main_lzd_slann_1
wh2_main_tech_lzd_0_2	wh2_main_lzd_smith_1
wh2_main_tech_lzd_1_1	wh2_main_lzd_farm_1
wh2_main_tech_lzd_2_1	wh2_main_lzd_energy_1
wh2_main_tech_lzd_3_1	wh2_main_lzd_scrying_1
wh2_main_tech_lzd_4_1	wh2_main_lzd_order_2
wh2_main_tech_lzd_5_1	wh2_main_lzd_industry_2
wh2_main_tech_lzd_6_1	wh2_main_lzd_skinks_2
wh2_main_tech_lzd_7_1	wh2_main_lzd_saurus_2
wh2_main_tech_lzd_8_1	wh2_main_lzd_beasts_2
wh2_main_tech_skv_1_0	wh2_main_skv_farm_1
wh2_main_tech_skv_2_0	wh2_main_skv_order_1
wh2_main_tech_skv_3_0	wh2_main_skv_salvage_1
wh2_main_tech_skv_4_0	wh2_main_skv_monsters_2
wh2_main_tech_skv_5_0	wh2_main_skv_engineers_1
wh2_main_tech_skv_6_0	wh2_main_skv_weaponteams_2
wh2_main_tech_skv_7_0	wh2_main_skv_energy_5
wh2_main_tech_skv_8_0	wh2_main_skv_assassins_3
wh2_main_tech_skv_9_0	wh2_main_skv_plagues_3
wh3_main_tech_emp_divine_mandate_volkmar	wh_main_emp_settlement_major_5
wh3_main_tech_emp_fanatics_decree_volkmar	wh_main_emp_settlement_major_4
wh3_main_tech_sla_4_1	wh3_main_sla_barracks_1
wh3_main_tech_sla_4_2	wh3_main_sla_barracks_1
wh3_main_tech_sla_4_3	wh3_main_sla_barracks_1
wh3_main_tech_sla_4_4	wh3_main_sla_barracks_1
wh3_main_tech_sla_4_5	wh3_main_sla_barracks_1
wh3_main_tech_sla_5_1	wh3_main_sla_seekers_1
wh3_main_tech_sla_5_2	wh3_main_sla_seekers_1
wh3_main_tech_sla_5_3	wh3_main_sla_seekers_1
wh3_main_tech_sla_5_4	wh3_main_sla_seekers_1
wh3_main_tech_sla_5_5	wh3_main_sla_seekers_1
wh3_main_tech_sla_6_2	wh3_main_sla_keeper_2
wh3_main_tech_sla_6_6	wh3_main_sla_keeper_2
wh3_main_tech_tze_0_2	wh3_main_tze_caster_3
wh3_main_tech_tze_1_5	wh3_main_tze_caster_3
wh3_main_tech_tze_2_2	wh3_main_tze_caster_3
wh3_main_tech_tze_3_3	wh3_main_tze_caster_3
wh3_main_tech_tze_4_4	wh3_main_tze_caster_3
wh_main_tech_emp_academy_1	wh2_main_emp_academy_1
wh_main_tech_emp_academy_2	wh2_main_emp_academy_1
wh_main_tech_emp_academy_3	wh2_main_emp_academy_1
wh_main_tech_emp_barracks_1	wh_main_emp_barracks_2
wh_main_tech_emp_barracks_2	wh_main_emp_barracks_2
wh_main_tech_emp_barracks_3	wh_main_emp_barracks_2
wh_main_tech_emp_barracks_4	wh_main_emp_barracks_3
wh_main_tech_emp_barracks_5	wh_main_emp_barracks_3
wh_main_tech_emp_barracks_6	wh_main_emp_barracks_3
wh_main_tech_emp_forges_1	wh_main_emp_forges_2
wh_main_tech_emp_forges_2	wh_main_emp_forges_2
wh_main_tech_emp_forges_3	wh_main_emp_forges_2
wh_main_tech_emp_forges_4	wh_main_emp_forges_3
wh_main_tech_emp_forges_5	wh_main_emp_forges_3
wh_main_tech_emp_forges_6	wh_main_emp_forges_3
wh_main_tech_emp_port_1	wh_main_emp_port_2
wh_main_tech_emp_port_2	wh_main_emp_port_2
wh_main_tech_emp_port_3	wh_main_emp_port_2
wh_main_tech_emp_smith_1	wh_main_emp_smiths_1
wh_main_tech_emp_smith_2	wh_main_emp_smiths_1
wh_main_tech_emp_smith_3	wh_main_emp_smiths_1
wh_main_tech_emp_smith_4	wh_main_emp_smiths_2
wh_main_tech_emp_smith_5	wh_main_emp_smiths_2
wh_main_tech_emp_smith_6	wh_main_emp_smiths_2
wh_main_tech_emp_stables_1	wh_main_emp_stables_2
wh_main_tech_emp_stables_2	wh_main_emp_stables_2
wh_main_tech_emp_stables_3	wh_main_emp_stables_2
wh_main_tech_emp_stables_4	wh_main_emp_stables_3
wh_main_tech_emp_stables_5	wh_main_emp_stables_3
wh_main_tech_emp_stables_6	wh_main_emp_stables_3
wh_main_tech_emp_worship_1	wh_main_emp_worship_2
wh_main_tech_emp_worship_2	wh_main_emp_worship_2
wh_main_tech_emp_worship_3	wh_main_emp_worship_2
