set	constraint
#pooled_resource_constraint_set_junctions_tables;0;db/pooled_resource_constraint_set_junctions_tables/data__	
wh2_main_def_farm_1	wh3_dlc23_constraint_slaves_5
wh2_main_def_farm_2	wh3_dlc23_constraint_slaves_10
wh2_main_def_farm_3	wh3_dlc23_constraint_slaves_15
wh2_main_def_industry_1	wh3_dlc23_constraint_slaves_15
wh2_main_def_industry_2	wh3_dlc23_constraint_slaves_25
wh2_main_def_industry_3	wh3_dlc23_constraint_slaves_35
wh2_main_def_order_1	wh3_dlc23_constraint_slaves_10
wh2_main_def_order_2	wh3_dlc23_constraint_slaves_15
wh2_main_def_order_3	wh3_dlc23_constraint_slaves_20
wh2_main_def_pleasure_cult_1	wh3_dlc23_constraint_slaves_5
wh2_main_def_pleasure_cult_2	wh3_dlc23_constraint_slaves_5
wh2_main_def_pleasure_cult_3	wh3_dlc23_constraint_slaves_10
wh2_main_def_pleasure_cult_4	wh3_dlc23_constraint_slaves_10
wh2_main_def_pleasure_cult_5	wh3_dlc23_constraint_slaves_25
wh2_main_def_port_1	wh3_dlc23_constraint_slaves_10
wh2_main_def_port_2	wh3_dlc23_constraint_slaves_30
wh2_main_def_port_3	wh3_dlc23_constraint_slaves_50
wh2_main_special_yvresse_amphitheatre_def	wh3_dlc23_constraint_slaves_50
wh3_dlc23_chd_factory_assembly_line_1	wh3_dlc23_constraint_raw_materials_150
wh3_dlc23_chd_factory_assembly_line_2	wh3_dlc23_constraint_raw_materials_225
wh3_dlc23_chd_factory_assembly_line_3	wh3_dlc23_constraint_raw_materials_300
wh3_dlc23_chd_factory_refinery_1	wh3_dlc23_constraint_raw_materials_150
wh3_dlc23_chd_factory_refinery_2	wh3_dlc23_constraint_raw_materials_225
wh3_dlc23_chd_factory_refinery_3	wh3_dlc23_constraint_raw_materials_300
wh3_dlc23_chd_resource_gems_1	wh3_dlc23_constraint_raw_materials_225
wh3_dlc23_chd_resource_iron_1	wh3_dlc23_constraint_raw_materials_300
wh3_dlc23_chd_resource_timber_1	wh3_dlc23_constraint_raw_materials_180
wh3_main_underdeep_dwf_economy_oathgold_1	wh3_main_constraint_oathgold_smelting_100
wh3_main_underdeep_dwf_economy_oathgold_2	wh3_main_constraint_oathgold_smelting_100
wh3_main_underdeep_dwf_economy_oathgold_3	wh3_main_constraint_oathgold_smelting_100
wh_twa03_special_albion_port_def_1	wh3_dlc23_constraint_slaves_10
wh_twa03_special_albion_port_def_2	wh3_dlc23_constraint_slaves_30
