campaign_group	unique_resource
#campaign_group_crafting_infos_tables;0;db/campaign_group_crafting_infos_tables/data__	
wh2_dlc09_ritual_tmb	tmb_canopic_jars
wh2_dlc12_lzd_cult_of_sotek	lzd_sacrificial_offerings
wh2_dlc12_skv_clan_skryre	skv_reactor_core
wh2_dlc16_forge_rites	wef_forge_daiths_favour
wh2_dlc17_bst_rituals	bst_dread
wh3_dlc23_chd_ritual_hellforge	wh3_dlc23_chd_armaments
wh3_dlc23_chd_ritual_toz	wh3_dlc23_chd_conclave_influence
wh3_dlc25_pooled_resource_chieftain_deference_bray_shaman	wh3_dlc25_chieftain_deference_bray_shaman
wh3_dlc25_pooled_resource_chieftain_deference_castellan	wh3_dlc25_chieftain_deference_castellan
wh3_dlc25_pooled_resource_chieftain_deference_exalted_hero	wh3_dlc25_chieftain_deference_exalted_hero
wh3_dlc25_pooled_resource_chieftain_deference_fimir_balefiend	wh3_dlc25_chieftain_deference_fimir_balefiend
wh3_dlc25_pooled_resource_chieftain_deference_kazyk	wh3_dlc25_chieftain_deference_kazyk
wh3_dlc25_pooled_resource_chieftain_deference_werekin	wh3_dlc25_chieftain_deference_werekin
wh3_dlc25_pooled_resource_chieftain_dominance	wh3_dlc25_chieftain_dominance
wh_dlc05_feature_wood_elves	wef_amber
wh_main_feature_dwarfs	dwf_oathgold
wh_main_feature_vampire_counts	vmp_blood_kiss
