path_key	technology_key	priority
#campaign_ai_technology_path_junctions_tables;0;db/campaign_ai_technology_path_junctions_tables/data__		
dlc09_tmb_1st_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_1_1	1
dlc09_tmb_1st_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_1_2	1
dlc09_tmb_1st_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_1_3	1
dlc09_tmb_1st_dynasty	wh2_dlc09_tech_tmb_dynasty_1	1
dlc09_tmb_1st_dynasty	wh2_dlc09_tech_tmb_faction_target_1	1
dlc09_tmb_1st_dynasty	wh2_dlc09_tech_tmb_tomb_prince_1	1
dlc09_tmb_2nd_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_2_1	1
dlc09_tmb_2nd_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_2_2	1
dlc09_tmb_2nd_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_2_3	1
dlc09_tmb_2nd_dynasty	wh2_dlc09_tech_tmb_dynasty_2	1
dlc09_tmb_2nd_dynasty	wh2_dlc09_tech_tmb_faction_target_2	1
dlc09_tmb_2nd_dynasty	wh2_dlc09_tech_tmb_liche_priest_2	1
dlc09_tmb_3rd_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_3_1	1
dlc09_tmb_3rd_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_3_2	1
dlc09_tmb_3rd_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_3_3	1
dlc09_tmb_3rd_dynasty	wh2_dlc09_tech_tmb_dynasty_3	1
dlc09_tmb_3rd_dynasty	wh2_dlc09_tech_tmb_faction_target_3	1
dlc09_tmb_3rd_dynasty	wh2_dlc09_tech_tmb_necrotect_3	1
dlc09_tmb_4th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_4_1	1
dlc09_tmb_4th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_4_2	1
dlc09_tmb_4th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_4_3	1
dlc09_tmb_4th_dynasty	wh2_dlc09_tech_tmb_dynasty_4	1
dlc09_tmb_4th_dynasty	wh2_dlc09_tech_tmb_faction_target_4	1
dlc09_tmb_4th_dynasty	wh2_dlc09_tech_tmb_tomb_prince_4	1
dlc09_tmb_5th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_5_1	1
dlc09_tmb_5th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_5_2	1
dlc09_tmb_5th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_5_3	1
dlc09_tmb_5th_dynasty	wh2_dlc09_tech_tmb_dynasty_5	1
dlc09_tmb_5th_dynasty	wh2_dlc09_tech_tmb_faction_target_5	1
dlc09_tmb_5th_dynasty	wh2_dlc09_tech_tmb_necrotect_5	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_6_1	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_6_2	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_6_3	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_dynasty_6	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_faction_target_6	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_liche_priest_6	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_1	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_2	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_3	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_4	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_5	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_6	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_7	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_legions_of_legend	1
