effect	effect_list	scope	value
#campaign_effect_list_effect_junctions_tables;0;db/campaign_effect_list_effect_junctions_tables/data__			
wh2_dlc15_speed_goblin_cav_squigs	wh2_dlc15_food_animal_1	faction_to_force_own	10.0000
wh_dlc06_effect_force_stat_charge_bonus_add_squigs	wh2_dlc15_food_animal_1	faction_to_force_own	12.0000
wh2_dlc15_berserk_orc_infantry	wh2_dlc15_food_animal_2	faction_to_force_own	1.0000
wh2_dlc15_regeneration_goblin_inf	wh2_dlc15_food_animal_3	faction_to_force_own	1.0000
wh2_dlc15_charge_orc_savage_orc_cav_chariot	wh2_dlc15_food_animal_4	faction_to_force_own	10.0000
wh2_dlc15_weapon_damage_orc_cav_chariot	wh2_dlc15_food_animal_4	faction_to_force_own	10.0000
wh2_dlc15_armour_goblin_cav_squigs	wh2_dlc15_food_animal_5	faction_to_force_own	15.0000
wh2_dlc15_morale_goblin_cav_squigs	wh2_dlc15_food_animal_5	faction_to_force_own	8.0000
wh2_dlc11_effect_force_stat_missile_damage_grn_all_goblin_ranged_infantry	wh2_dlc15_food_bird_1	faction_to_force_own	10.0000
wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	wh2_dlc15_food_bird_1	faction_to_force_own	1.0000
wh2_dlc15_projectile_replacement_goblin_explosive_arrow	wh2_dlc15_food_bird_2	faction_to_force_own	1.0000
wh2_dlc11_effect_force_stat_ammunition_grn_all_goblin_ranged_infantry	wh2_dlc15_food_bird_3	faction_to_force_own	10.0000
wh2_dlc15_projectile_replacement_goblin_multi_shot	wh2_dlc15_food_bird_3	faction_to_force_own	1.0000
wh2_dlc15_projectile_replacement_goblin_fire_arrow	wh2_dlc15_food_bird_4	faction_to_force_own	1.0000
wh2_dlc15_projectile_replacement_goblin_ap_arrow	wh2_dlc15_food_bird_5	faction_to_force_own	1.0000
wh2_dlc15_unit_ability_groms_smoothie	wh2_dlc15_food_dish_10	character_to_character_own_grom_text	1.0000
wh_main_effect_attribute_enable_stalk	wh2_dlc15_food_dish_10	character_to_character_own_grom_text	1.0000
wh2_dlc10_effect_character_stat_enable_sundering_attacks	wh2_dlc15_food_dish_1	character_to_character_own_grom_text	1.0000
wh2_main_effect_character_stat_weapon_strength_base	wh2_dlc15_food_dish_1	character_to_character_own_grom_text	100.0000
