name	can_lock	can_unlock	order_in_battle	ui_localised_name
#map_barriers_tables;3;db/map_barriers_tables/data__				
forge_of_souls_barrier_01	false	true	0	[PH] FoS Barrier 1
forge_of_souls_barrier_02	false	true	0	[PH] FoS Barrier 2
khorne_barrier_01	false	true	0	[PH] Khorne Barrier 1
khorne_barrier_02	false	true	0	[PH] Khorne Barrier 2
map_barrier_default	false	true	0	[PH] Map Barrier Default
nurgle_barrier_01	false	true	0	[PH] Nurgle Barrier 1
nurgle_barrier_02	false	true	0	[PH] Nurgle Barrier 2
slaanesh_barrier_01	false	true	0	[PH] Slaanesh Barrier 1
slaanesh_barrier_02	false	true	0	[PH] Slaanesh Barrier 2
tzeentch_barrier_01	false	true	0	[PH] Tzeentch Barrier 1
tzeentch_barrier_02	false	true	0	[PH] Tzeentch Barrier 2
