key	resource_amount	pooled_resource_factor
#pooled_resource_constraints_tables;0;db/pooled_resource_constraints_tables/data__		
wh3_dlc23_constraint_raw_materials_100	100	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_120	120	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_150	150	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_180	180	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_200	200	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_225	225	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_240	240	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_300	300	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_400	400	wh3_dlc23_chd_raw_materials_consumed
wh3_dlc23_constraint_raw_materials_50	50	wh3_dlc23_chd_raw_materials_consumed
