advisor_name	advisor_icon_path
#advisors_tables;2;db/advisors_tables/data__	
faction_leader	ui/skins/default/preview_advisor.png
isabella	ui/portraits/portholes/no_culture/vmp_ch_isabella_0.png
narrator	ui/skins/default/narrator_porthole_portrait.png
prologue_advisor	ui/skins/wh3_main_ksl_kislev_pro/gerik_porthole_portrait.png
prologue_yuri_0	ui/skins/wh3_main_ksl_kislev_pro/yuri_001_porthole_portrait.png
prologue_yuri_1	ui/skins/wh3_main_ksl_kislev_pro/yuri_002_porthole_portrait.png
prologue_yuri_2	ui/skins/wh3_main_ksl_kislev_pro/yuri_003_porthole_portrait.png
prologue_yuri_3	ui/skins/wh3_main_ksl_kislev_pro/yuri_004_porthole_portrait.png
prologue_yuri_4	ui/skins/wh3_main_ksl_kislev_pro/yuri_004_porthole_portrait.png
standard_advisor	ui/skins/default/preview_advisor.png
