building_chain	settlement_type	exclude
#settlement_type_to_building_chains_junctions_tables;1;db/settlement_type_to_building_chains_junctions_tables/data__		
wh2_dlc11_foreign_corruption	wh3_dlc23_chd_factory	false
wh2_dlc11_foreign_income	wh3_dlc23_chd_factory	false
wh2_dlc11_foreign_infamy	wh3_dlc23_chd_factory	false
wh2_dlc11_foreign_trade	wh3_dlc23_chd_factory	false
wh2_dlc12_special_warlock_lab	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_annexation_doomsday	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_annexation_war_camp	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_discovery_assassins	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_discovery_deeper_tunnels	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_food_kidnappers	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_food_raiding_camp	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_money_crafting	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_money_thieves	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_settlement_stronghold	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_settlement_warren	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_warpstone_mine	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_warpstone_refinery	wh3_dlc23_chd_factory	false
wh2_dlc12_under_empire_warpstone_strip_mine	wh3_dlc23_chd_factory	false
wh2_dlc14_special_copher_port	wh3_dlc23_chd_factory	false
wh2_dlc14_special_dragon_isle_port	wh3_dlc23_chd_factory	false
wh2_dlc14_special_nagashizzar_other	wh3_dlc23_chd_factory	false
wh2_dlc14_under_empire_annexation_plague_cauldron	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_ambush	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_core	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_def_boost	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_melee_boost	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_ranged_boost	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_recruitment	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_replenishment	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_transport	wh3_dlc23_chd_factory	false
wh2_dlc17_silent_sanctum_upkeep	wh3_dlc23_chd_factory	false
wh2_main_special_lothern_port_other	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_allied_outpost	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_factory_assembly_line	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_factory_drills	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_factory_garrison	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_factory_port	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_factory_refinery	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_military_chaos_dwarf_infantry	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_military_hobgoblins	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_military_war_machines	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_animals	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_dyes	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_furs	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_gems	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_gold	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_iron	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_ivory	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_marble	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_medicine	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_obsidian	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_pastures	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_pottery	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_salt	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_spices	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_timber	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_resource_wine	wh3_dlc23_chd_factory	false
wh3_dlc23_chd_settlement_factory	wh3_dlc23_chd_factory	false
wh3_dlc23_foreign_slot_discovery_chd	wh3_dlc23_chd_factory	false
wh3_dlc23_special_anurells_tomb_chd	wh3_dlc23_chd_factory	false
wh3_dlc23_special_astragoth_great_drill_of_hashut	wh3_dlc23_chd_factory	false
wh3_dlc23_special_black_fortress_infernal_barracks_chd	wh3_dlc23_chd_factory	false
wh3_dlc23_special_daemons_stump_bloodthirster_prison_chd	wh3_dlc23_chd_factory	false
wh3_dlc23_special_drazhoath_great_drill_of_hashut	wh3_dlc23_chd_factory	false
wh3_dlc23_special_flayed_rock_flayed_tower_chd	wh3_dlc23_chd_factory	false
wh3_dlc23_special_fortress_of_dawn_dawns_harbour_chd	wh3_dlc23_chd_factory	false
wh3_dlc23_special_graves_of_the_dragons_chd	wh3_dlc23_chd_factory	false
