bonus_value_id	effect	special_ability_phase
#effect_bonus_value_special_ability_phase_record_junctions_tables;0;db/effect_bonus_value_special_ability_phase_record_junctions_tables/data__		
active	wh2_dlc10_effect_character_stat_enable_contaminated_attacks	wh2_main_unit_contact_plague_monk_censer_morale
active	wh2_dlc10_effect_character_stat_enable_sundering_attacks	wh_dlc06_unit_contact_sundered_armour
active	wh2_dlc10_effect_character_stat_weeping_strike	wh2_main_unit_contact_weeping_blade
active	wh2_dlc14_effect_character_stat_enable_spirit_leech_attacks	wh_main_spell_death_spirit_leech
active	wh2_dlc15_effect_character_stat_enable_death_poison_attacks	wh2_dlc15_unit_contact_nightgoblin_poison
active	wh2_dlc15_effect_character_stat_enable_orrible_attacks	wh2_dlc15_unit_contact_orrible_smell
active	wh2_dlc15_effect_character_stat_scorching_attacks	wh2_dlc12_unit_contact_flammable
active	wh2_dlc15_enable_inflammable_attacks	wh2_dlc12_unit_contact_flammable
active	wh2_dlc16_effect_character_stat_enable_dampening_attacks	wh2_pro08_unit_contact_dampen
active	wh2_dlc16_enable_charmed_attacks	wh2_dlc11_unit_contact_charmed
active	wh2_dlc17_effect_character_stat_enable_slow_death_attacks	wh2_dlc17_unit_contact_slow_death
active	wh2_dlc17_effect_contact_phase_dazed	wh2_dlc17_unit_contact_dazed
active	wh2_dlc17_effect_contact_phase_touch_of_corruption	wh2_dlc16_unit_contact_cursed
active	wh2_main_effect_character_stat_enable_discourage_attacks	wh_dlc06_unit_contact_discouraged
active	wh3_dlc20_effect_enables_warpflame_attacks	wh3_main_unit_contact_warpflame
active	wh3_main_effect_character_stat_enable_soporific_musk	wh3_main_unit_contact_soporific_musk
active	wh_dlc04_effect_character_stat_enable_helmans_blight_attacks_hidden	wh_dlc04_unit_contact_helmans_blight
active	wh_dlc08_effect_character_stat_enable_frostbite_attacks	wh_dlc08_unit_contact_frostbite
active	wh_dlc15_effect_character_stat_enable_rattled_attacks	wh2_dlc15_unit_contact_rattled
active	wh_main_effect_character_stat_enable_poison_attacks	wh_main_unit_contact_poison
