key	active_vfx	banner_vfx	entity_vfx	entity_vfx_attach_type
#special_ability_phase_displays_tables;1;db/special_ability_phase_displays_tables/data__				
wh2_dlc09_abilities_befalling_curse		wh_main_generic_banner_debuff	wh2_dlc09_abilities_befalling_curse	top
wh2_dlc09_abilities_blade_of_setep		wh_main_generic_banner_debuff	wh2_dlc09_abilities_blade_of_setep	top
wh2_dlc09_abilities_blessing_of_asaph			wh2_dlc09_abilities_blessing_of_asaph	top
wh2_dlc09_abilities_curse_of_djaf			wh2_dlc09_abilities_curse_of_djaf	top
wh2_dlc09_abilities_realm_of_souls_tier_1		wh_main_generic_banner_buff	wh2_dlc09_abilities_realm_of_souls_level_1	top
wh2_dlc09_abilities_realm_of_souls_tier_2		wh_main_generic_banner_buff	wh2_dlc09_abilities_realm_of_souls_level_2	top
wh2_dlc09_abilities_realm_of_souls_tier_3		wh_main_generic_banner_buff	wh2_dlc09_abilities_realm_of_souls_level_3	top
wh2_dlc09_abilities_stay_here_ill_get_help		wh_main_generic_banner_debuff	wh2_dlc09_abilities_stay_here	top
wh2_dlc09_abilities_the_curse		wh_main_generic_banner_debuff	wh2_dlc09_abilities_the_curse	top
wh2_dlc09_army_abilities_sand_veil			wh2_dlc09_army_abilities_sand_veil	top
wh2_dlc09_army_abilities_tomb_swarm		wh_main_generic_banner_debuff	wh2_dlc09_army_abilities_tomb_swarm_entity_debuff	top
wh2_dlc09_sand_crumble		wh2_dlc09_tomb_kings_banner_unstable	wh2_dlc09_tomb_kings_unstable	top
wh2_dlc09_sand_crumble_II		wh2_dlc09_tomb_kings_banner_unstable_severe	wh2_dlc09_tomb_kings_unstable_severe	top
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades		wh_main_generic_banner_buff	wh2_dlc09_nehekhara_cursed_blades	top
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection		wh_main_generic_banner_buff	wh2_dlc09_nehekhara_protection	top
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting		wh_main_generic_banner_buff	wh2_dlc09_nehekhara_righteous_smiting	top
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation		wh_main_generic_banner_debuff	wh2_dlc09_nehekhara_desiccation	top
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance		wh_main_generic_banner_debuff	wh2_dlc09_nehekhara_vengeance	top
wh2_dlc10_entangle_phase		wh2_dlc10_entangle_phase_banner	wh2_dlc10_entangle_phase	top
wh2_dlc10_insane_head			wh2_dlc10_insane_head_debuff	top
wh2_dlc10_item_abilities_star_of_avelorn		wh_main_generic_banner_buff	wh2_dlc10_buff_star_of_avelorn_entity	top
wh2_dlc10_lord_phase_blood_frenzy_1			wh2_dlc10_bloodfrenzy_1	top
wh2_dlc10_lord_phase_blood_frenzy_2			wh2_dlc10_bloodfrenzy_2	top
wh2_dlc10_lord_phase_blood_frenzy_3			wh2_dlc10_bloodfrenzy_3	top
wh2_dlc10_mislead_phase			wh2_dlc10_mislead_disappear	top
wh2_dlc10_motherofflame		wh_main_generic_banner_buff	wh2_dlc10_motherofflame_buff	top
wh2_dlc10_primalrampage1		wh2_dlc10_primalrampage1		top
wh2_dlc10_primalrampage2		wh2_dlc10_primalrampage2		top
wh2_dlc10_primalrampage3		wh2_dlc10_primalrampage3		top
wh2_dlc10_waaagh		wh2_dlc10_waaagh_banner	wh2_dlc10_waaagh_phase	top
wh2_dlc10_weapon_abilities_shadow_of_khaine			wh2_dlc10_bloodfrenzy_1	top
wh2_dlc11_abilities_pyromaniac			wh2_dlc11_entity_flames_dot	top
wh2_dlc11_ability_spearfishers_net		wh_main_generic_banner_debuff	wh2_dlc11_spearfishers_net_entity_debuff	top
wh2_dlc11_army_abilities_shanty_verse_1		wh2_dlc11_abilities_sea_shanty1_banner	wh_main_generic_entity_buff_defence_attack	top
wh2_dlc11_army_abilities_shanty_verse_2		wh2_dlc11_abilities_sea_shanty2_banner	wh_main_generic_entity_buff_defence_attack	top
wh2_dlc11_army_abilities_shanty_verse_3		wh2_dlc11_abilities_sea_shanty3_banner	wh_main_generic_entity_buff_defence_attack	top
wh2_dlc11_deep_debuff_attack		wh_main_generic_banner_debuff	wh2_dlc11_ability_debuff_attack	top
wh2_dlc11_lord_abilities_storm_of_the_night			wh2_dlc11_abilities_storm_of_the_night_entity_debuff	top
wh2_dlc11_spell_deep_fog_of_the_damned		wh2_dlc11_deep_banner_debuff	wh2_dlc11_deep_fog_of_damned_unit_debuff	top
wh2_dlc11_spell_deep_spiteful_shot		wh_main_generic_banner_buff	wh2_dlc11_deep_spiteful_shot	top
wh2_dlc11_unit_passive_extra_powder		wh2_dlc11_unit_passive_extra_powder_banner		top
wh2_dlc12_ability_unlimited_power		wh2_dlc12_skv_banner_buff_wom		top
wh2_dlc12_drop_sphere_contact			wh2_dlc12_drop_sphere_entity	top
wh2_dlc13_abilities_protection_of_quetzl		wh2_dlc13_abilities_protection_of_quetzl_banner_buff	wh2_dlc13_abilities_protection_of_quetzl_entity_buff	top
wh2_dlc13_lord_abilities_hail_of_fire		wh_main_generic_banner_buff	wh2_dlc13_abilities_hail_of_fire_buff	top
wh2_dlc14_abilities_reaper_of_souls		wh_main_generic_banner_debuff	wh2_dlc14_abilities_reaper_of_souls_debuff	top
wh2_dlc14_abilities_seismic_snare		wh_main_generic_banner_debuff	wh2_dlc14_abilities_seismic_snare_entity_debuff	bottom
wh2_dlc14_def_crowfeast		wh2_dlc10_bloodfrenzy_1		top
wh2_dlc14_lord_abilities_the_blood_price			wh2_dlc14_abilities_blood_price	bottom
wh2_dlc14_lord_abilities_the_daemons_curse		wh_main_generic_banner_debuff	wh2_dlc14_abilities_the_daemons_curse_debuff	top
wh2_dlc14_skv_doppelgang_phase			wh2_dlc14_skv_entity_phase	top
wh2_dlc14_spell_ruin_flensing_ruin		wh_main_generic_banner_debuff	wh2_dlc14_ruin_flensing_ruin_entity_debuff	bottom
wh2_dlc14_spell_stealth_armour_of_darkness		wh_main_generic_banner_buff	wh2_dlc14_stealth_armour_of_darkness	top
wh2_dlc14_spell_stealth_brittle_bone		wh_main_generic_banner_debuff	wh2_dlc14_stealth_brittle_bone	top
wh2_dlc14_stealth_toxic_rain		wh_main_generic_banner_debuff	wh2_dlc14_stealth_toxic_rain	top
wh2_dlc15_abilities_fermented_fungi		wh_main_generic_banner_debuff	wh2_dlc15_abilities_fermented_fungi_debuff	top
