mission	group	order
#mission_groups_to_missions_tables;0;db/mission_groups_to_missions_tables/data__		
wh2_dlc13_wulfhart_hertwig_van_hal_stage_1	wh2_dlc13_emp_wulfhart_hunter_hertwig	1
wh2_dlc13_wulfhart_hertwig_van_hal_stage_2	wh2_dlc13_emp_wulfhart_hunter_hertwig	2
wh2_dlc13_wulfhart_hertwig_van_hal_stage_3	wh2_dlc13_emp_wulfhart_hunter_hertwig	3
wh2_dlc13_wulfhart_hertwig_van_hal_stage_4	wh2_dlc13_emp_wulfhart_hunter_hertwig	4
wh2_dlc13_wulfhart_hertwig_van_hal_stage_5a	wh2_dlc13_emp_wulfhart_hunter_hertwig	5
wh2_dlc13_wulfhart_hertwig_van_hal_stage_5b	wh2_dlc13_emp_wulfhart_hunter_hertwig	5
wh2_dlc13_wulfhart_jorek_grimm_stage_1	wh2_dlc13_emp_wulfhart_hunter_jorek	1
wh2_dlc13_wulfhart_jorek_grimm_stage_2	wh2_dlc13_emp_wulfhart_hunter_jorek	2
wh2_dlc13_wulfhart_jorek_grimm_stage_3	wh2_dlc13_emp_wulfhart_hunter_jorek	3
wh2_dlc13_wulfhart_jorek_grimm_stage_4	wh2_dlc13_emp_wulfhart_hunter_jorek	4
wh2_dlc13_wulfhart_jorek_grimm_stage_5	wh2_dlc13_emp_wulfhart_hunter_jorek	5
wh2_dlc13_wulfhart_kalara_stage_1	wh2_dlc13_emp_wulfhart_hunter_kalara	1
wh2_dlc13_wulfhart_kalara_stage_2	wh2_dlc13_emp_wulfhart_hunter_kalara	2
wh2_dlc13_wulfhart_kalara_stage_3	wh2_dlc13_emp_wulfhart_hunter_kalara	3
wh2_dlc13_wulfhart_kalara_stage_4	wh2_dlc13_emp_wulfhart_hunter_kalara	4
wh2_dlc13_wulfhart_kalara_stage_5	wh2_dlc13_emp_wulfhart_hunter_kalara	5
wh2_dlc13_wulfhart_rodrik_languille_stage_1	wh2_dlc13_emp_wulfhart_hunter_rodrik	1
wh2_dlc13_wulfhart_rodrik_languille_stage_2	wh2_dlc13_emp_wulfhart_hunter_rodrik	2
wh2_dlc13_wulfhart_rodrik_languille_stage_3	wh2_dlc13_emp_wulfhart_hunter_rodrik	3
wh2_dlc13_wulfhart_rodrik_languille_stage_4	wh2_dlc13_emp_wulfhart_hunter_rodrik	4
wh2_dlc13_wulfhart_rodrik_languille_stage_5	wh2_dlc13_emp_wulfhart_hunter_rodrik	5
