culture	ui_feature
#ui_features_to_cultures_tables;0;db/ui_features_to_cultures_tables/data__	
wh2_dlc09_tmb_tomb_kings	BOOKS_OF_NAGASH
wh2_dlc11_cst_vampire_coast	CITY_INFO_BAR_MERCENARIES
wh3_dlc23_chd_chaos_dwarfs	CHAOS_DWARF_RELICS
wh3_dlc23_chd_chaos_dwarfs	CONVOYS
wh3_dlc23_chd_chaos_dwarfs	HAS_CENTERED_TECH_TREE
wh3_dlc23_chd_chaos_dwarfs	HELLFORGE
wh3_dlc23_chd_chaos_dwarfs	INDUSTRIAL_ECONOMY
wh3_dlc23_chd_chaos_dwarfs	SETTLEMENT_TYPES
wh3_dlc23_chd_chaos_dwarfs	TOWER_OF_ZHARR
wh3_dlc23_chd_chaos_dwarfs	TRAIN_UPGRADES
wh3_main_cth_cathay	CARAVANS
wh3_main_dae_daemons	SETTLEMENT_TYPES
wh3_main_nur_nurgle	NURGLE_PLAGUES
wh3_main_ogr_ogre_kingdoms	BIG_NAMES
wh_dlc03_bst_beastmen	BLOODGROUNDS
wh_main_chs_chaos	CHAOS_GIFTS
wh_main_chs_chaos	CITY_INFO_BAR_MERCENARIES
wh_main_chs_chaos	DARK_FORTRESSES
wh_main_chs_chaos	DISABLE_DEFAULT_RECRUITMENT
wh_main_chs_chaos	PATH_TO_GLORY
wh_main_chs_chaos	WARBANDS
wh_main_grn_greenskins	WAAAGH
wh_main_vmp_vampire_counts	CITY_INFO_BAR_MERCENARIES
