key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/data__																			
placeholder	0	0	20	4	0.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
w3h_main_tze_screamer	25	0	20	40	4.0000	sword	claw	small	3	1.0000	0.7500	0.0000	true		0	10	4.0000		false
wh2_cld09_tmb_carrion	0	0	35	12	1.0000	knife	claw		1	1.0000	0.2500	0.0000	false		0	10	4.0000		false
wh2_cld09_tmb_carrion_ror	0	0	17	52	2.0000	knife	claw	medium	3	1.0000	0.2500	1.0000	true		0	10	4.0000		false
wh2_dlc09_dual_swords_ushabti	0	8	22	57	2.0000	sword	sword_medium	medium	4	1.0000	0.7500	0.0000	false		0	10	3.8000		false
wh2_dlc09_skv_cha_tretch_craventail	25	0	280	120	3.0000	spear	spear	medium	5	1.0000	0.5000	0.0000	false		0	10	4.0000		false
wh2_dlc09_sword_ushabti	0	0	18	47	2.0000	sword	sword_medium	medium	3	1.0000	0.7500	0.0000	false		0	10	3.8000		false
wh2_dlc09_swords_necrosphinx	35	0	150	400	9.0000	sword	sword_huge	medium	5	1.0000	0.7500	0.0000	false		0	10	3.6000		false
wh2_dlc09_swords_necrosphinx_RoR	35	0	150	400	9.0000	sword	sword_huge	medium	5	1.0000	0.7500	1.0000	true		0	10	3.6000		false
wh2_dlc09_tmb_cavalry_spear	0	0	21	7	2.0000	lance	spear		1	1.0000	0.5000	0.0000	false		0	10	4.5000		false
wh2_dlc09_tmb_chariot	0	12	24	10	5.0000	axe	claw	very_large	2	1.0000	0.7500	0.0000	false		2	2	4.0000		false
wh2_dlc09_tmb_chariot_khalida	0	28	230	120	5.0000	axe	claw	very_large	4	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	2	2	4.0000		false
wh2_dlc09_tmb_chariot_lord	0	28	230	120	5.0000	axe	claw	very_large	4	1.0000	0.7500	0.0000	false		2	2	4.0000		false
wh2_dlc09_tmb_chariot_settra	0	25	140	330	5.0000	axe	claw	very_large	4	1.0000	0.7500	1.0000	true		4	4	4.0000		false
wh2_dlc09_tmb_dual_sword	0	7	26	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.5000		false
wh2_dlc09_tmb_dual_sword_ror	0	9	33	9	1.0000	sword	sword		1	1.0000	0.7500	0.0000	true		0	10	4.5000		false
wh2_dlc09_tmb_halberd	19	0	9	20	2.0000	spear	halberd		1	1.0000	0.5000	0.0000	false		0	10	4.9000		false
wh2_dlc09_tmb_halberd_prince	25	0	110	260	3.0000	spear	halberd	large	4	1.0000	0.5000	0.0000	false		0	10	4.0000		false
wh2_dlc09_tmb_halberd_settra	20	0	140	330	3.0000	spear	halberd	medium	7	1.0000	0.5000	0.0000	false		0	10	4.0000		false
wh2_dlc09_tmb_halberd_stalker	18	0	23	52	2.0000	spear	halberd	medium	2	1.0000	0.5000	0.0000	true		0	10	4.7000		false
wh2_dlc09_tmb_necropolis_knights_halberd	32	0	19	36	4.0000	lance	halberd	small	3	0.2500	0.5000	0.0000	false	wh_main_unit_contact_poison	0	10	5.4000		false
wh2_dlc09_tmb_necropolis_knights_lance	0	0	25	42	4.0000	lance	spear	small	3	0.2500	0.5000	0.0000	false	wh_main_unit_contact_poison	0	10	5.4000		false
wh2_dlc09_tmb_necroserpent_khalida	0	0	135	315	5.0000	sword	staff	medium	6	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
wh2_dlc09_tmb_scorpion_claws	0	15	110	270	7.0000	axe	claw	medium	5	1.0000	1.2500	0.0000	false		0	10	3.7000		false
wh2_dlc09_tmb_spear	14	0	18	6	2.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	4.5000		false
wh2_dlc09_tmb_spear_ror	14	0	19	5	2.0000	spear	spear		1	1.0000	0.5000	0.0000	false	wh_main_unit_contact_poison	0	10	4.5000		false
wh2_dlc09_tmb_staff_hero	0	0	210	90	3.0000	axe	staff	medium	8	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc09_tmb_staff_khalida	0	0	270	180	3.0000	sword	staff	medium	6	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	3.7000		false
wh2_dlc09_tmb_sword	0	0	20	6	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.3000		false
wh2_dlc09_tmb_sword_casket_khatep	0	0	230	120	3.0000	axe	claw	very_large	5	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc09_tmb_sword_hero	0	20	240	120	3.0000	sword	sword	small	6	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc09_tmb_sword_hero_khatep	0	0	210	90	3.0000	sword	sword	medium	5	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc09_tmb_sword_hero_lord	0	0	290	160	3.0000	sword	sword	medium	8	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc09_tmb_sword_nehekhara_horsemen	0	0	28	10	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	5.0000		false
wh2_dlc09_tmb_sword_short	0	0	17	3	0.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.4000		false
wh2_dlc09_tmb_sword_tomb_guard	0	0	33	9	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.4000		false
wh2_dlc09_tmb_warsphinx	0	15	140	340	9.0000	axe	claw	medium	7	1.5000	1.2500	0.0000	false		0	10	3.5000		false
wh2_dlc09_tmb_warsphinx_lord	0	15	145	345	9.0000	axe	claw	medium	7	1.5000	0.7500	0.0000	false		0	10	3.5000		false
wh2_dlc10_def_crone_cauldron	0	20	105	245	5.0000	axe	axe	very_large	5	1.0000	1.0000	0.0000	false	wh_main_unit_contact_poison	3	2	4.8000		false
wh2_dlc10_def_crone_dual_swords	0	20	140	330	3.0000	sword	sword	medium	8	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
wh2_dlc10_def_crone_manticore	0	20	140	330	6.0000	axe	claw	large	5	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	3	3.6000		false
wh2_dlc10_def_kharibdyss	30	0	150	350	9.0000	axe	claw	large	5	1.0000	1.2500	0.0000	false	wh_main_unit_contact_poison	0	10	3.6000		false
wh2_dlc10_def_manticore	0	0	290	155	6.0000	axe	claw	large	5	1.0000	1.0000	0.0000	false		0	3	3.6000		false
wh2_dlc10_def_sisters_of_slaughter_whip	0	0	27	11	1.0000	sword	sword		4	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	4.5000		false
wh2_dlc10_def_war_hydra_boss	0	35	440	450	2.0000	axe	claw	large	8	1.5000	1.2500	0.0000	false		0	10	3.6000		false
wh2_dlc10_def_war_hydra_ror_0	0	0	140	300	9.0000	axe	claw	large	5	1.0000	1.2500	0.0000	false	wh_dlc08_unit_contact_frostbite	0	10	3.6000		false
wh2_dlc10_def_warlock_sword	0	0	32	13	1.0000	sword	sword	medium	3	1.0000	0.7500	0.0000	true	wh_main_unit_contact_poison	0	10	4.5000		false
wh2_dlc10_hef_alarielle_great_eagle	0	0	234	156	7.0000	axe	claw	large	5	1.0000	1.0000	0.0000	true		0	3	4.0000		false
wh2_dlc10_hef_alarielle_sword	0	0	200	100	3.0000	sword	drakegun	medium	5	1.0000	0.7500	0.0000	true		0	10	4.0000		false
wh2_dlc10_hef_alith_anar_mirror	0	0	0	0	3.0000	sword	sword	medium	5	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc10_hef_alith_anar_mirror_1	0	0	130	70	3.0000	sword	sword	medium	5	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc10_hef_dual_swords_shadow	0	12	24	10	1.0000	sword	sword		4	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	4.6000		false
wh2_dlc10_hef_flamespyre_phoenix_boss	0	0	240	280	7.0000	axe	claw	large	8	2.0000	1.2500	1.0000	true		0	10	4.0000		false
wh2_dlc10_hef_handmaiden_spear	35	0	250	110	2.0000	spear	spear	medium	4	1.0000	0.5000	0.0000	false		3	2	4.0000		false
wh2_dlc10_hef_sword_shadow	0	0	22	10	1.0000	sword	sword		4	1.0000	0.7500	0.0000	false		0	10	4.3000		false
wh2_dlc10_hef_sword_sisters	0	0	22	10	1.0000	sword	sword		4	1.0000	0.7500	0.0000	false		0	10	4.3000		false
wh2_dlc10_lzd_feral_carnosaur_boss	35	0	210	630	7.0000	axe	claw	very_large	8	2.0000	1.2500	0.0000	false		0	20	3.6000		false
wh2_dlc10_skv_hell_pit_abomination_boss	20	0	350	450	3.0000	axe	claw	large	10	1.5000	1.2500	0.0000	false		0	10	3.2000		false
wh2_dlc10_tmb_bone_giant	0	0	100	300	5.0000	axe	club_huge	large	6	1.0000	1.2500	0.0000	false		0	10	4.0000		false
wh2_dlc11_cst_bloated_corpse	0	0	150	300	2.0000	axe	unarmed		10	1.0000	1.2500	0.0000	false		0	10	4.3000		false
wh2_dlc11_cst_caster_cylostra_direfin	0	0	0	300	3.0000	sword	sword	medium	7	1.0000	0.7500	0.0000	true	wh2_dlc11_unit_contact_charmed	0	10	4.0000		false
wh2_dlc11_cst_claws_animated_hulks	0	0	28	62	2.0000	sword	claw	medium	6	1.4000	0.7500	0.0000	false		0	10	3.8000		false
wh2_dlc11_cst_claws_mourngul_haunter	0	25	140	280	5.0000	axe	claw	medium	6	1.0000	1.2500	0.0000	false	wh_dlc08_unit_contact_frostbite	0	10	3.0000		false
wh2_dlc11_cst_claws_mournguls	0	20	30	70	3.0000	axe	claw	medium	4	1.0000	1.2500	0.0000	false		0	10	4.0000		false
wh2_dlc11_cst_claws_mournguls_ror	0	20	36	84	3.0000	axe	claw	medium	5	1.3000	1.2500	0.0000	false		0	10	4.0000		false
wh2_dlc11_cst_claws_promethians	0	0	22	55	2.0000	axe	claw	medium	5	1.0000	1.2500	0.0000	false		0	10	3.8000		false
wh2_dlc11_cst_count_noctilus_halberd	20	0	130	300	3.0000	spear	halberd	medium	7	1.0000	0.5000	0.0000	false		0	10	4.3000		false
wh2_dlc11_cst_damned_great_sword_questing	0	0	0	48	1.0000	sword	sword		1	1.0000	0.7500	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	4.3000		false
wh2_dlc11_cst_damned_lance_errant	0	0	0	30	1.0000	lance	spear		1	1.0000	0.5000	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	5.1000		false
wh2_dlc11_cst_damned_lance_knights_of_the_realm	10	0	0	37	1.0000	lance	spear		1	1.0000	0.5000	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	5.1000		false
wh2_dlc11_cst_dual_axe	0	5	46	18	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	3.8000		false
wh2_dlc11_cst_dual_sword	0	0	22	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.3000		false
wh2_dlc11_cst_dual_swords_sartosa	0	6	20	6	1.0000	sword	sword		4	1.0000	0.7500	0.0000	false		0	10	4.8000		false
wh2_dlc11_cst_halberd	13	0	8	19	2.0000	spear	halberd		1	1.0000	0.5000	0.0000	false		0	10	4.5000		false
wh2_dlc11_cst_halberd_admiral	25	0	120	280	3.0000	spear	halberd	large	5	1.0000	0.5000	0.0000	false		0	10	4.0000		false
wh2_dlc11_cst_halberd_aranessa	35	0	120	280	3.0000	spear	halberd	large	4	1.0000	0.5000	0.0000	false		0	10	4.0000		false
wh2_dlc11_cst_halberd_depth_guard	28	0	14	30	2.0000	spear	halberd		1	1.0000	0.5000	0.0000	false		0	10	4.4000		false
wh2_dlc11_cst_necrofex_colossus	0	0	103	309	6.0000	axe	club_huge	very_large	10	1.2500	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc11_cst_necrofex_colossus_ror	0	25	125	375	6.0000	axe	club_huge	very_large	10	1.2500	1.2500	1.0000	false	wh_main_unit_contact_morale	0	10	4.0000		false
wh2_dlc11_cst_promethean_admiral_cutlass	0	0	120	280	3.0000	axe	claw	medium	5	1.0000	0.7500	0.0000	false		0	10	3.8000		false
wh2_dlc11_cst_promethean_admiral_halberd	25	0	120	280	3.0000	axe	claw	medium	5	1.0000	0.7500	0.0000	false		0	10	3.8000		false
wh2_dlc11_cst_promethean_captain	0	0	115	265	3.0000	axe	claw	medium	5	1.0000	0.7500	0.0000	false		0	10	3.8000		false
wh2_dlc11_cst_promethean_gunnery_wight	0	0	105	245	3.0000	axe	claw	medium	5	1.0000	0.7500	0.0000	false		0	10	3.8000		false
wh2_dlc11_cst_rotting_leviathan_claws	0	15	120	280	10.0000	axe	claw	large	9	1.0000	0.7500	0.0000	false		0	10	3.2000		false
wh2_dlc11_cst_short_sword	0	0	13	2	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.4000		false
wh2_dlc11_cst_sword_hero_gunnery_wight	0	0	260	140	3.0000	sword	sword	medium	6	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh2_dlc11_cst_sword_luthor_harkon	0	0	310	170	3.0000	sword	sword	medium	6	1.0000	0.7500	0.0000	false	wh2_dlc11_unit_contact_disrupted	0	10	4.0000		false
wh2_dlc11_cst_sword_syreen	0	0	0	30	1.0000	knife	claw		0	1.0000	0.2500	0.0000	true	wh2_dlc11_unit_contact_charmed	0	10	4.0000		false
wh2_dlc11_cst_sword_zombie_magical	0	0	0	18	1.0000	sword	sword		10	1.0000	0.7500	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	4.3000		false
wh2_dlc11_cst_terrorgheist	0	0	135	350	6.0000	axe	claw	large	7	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	3	4.0000		false
wh2_dlc11_def_lokhir_black_dragon	0	0	150	410	8.0000	axe	claw	large	8	1.0000	0.7500	0.0000	false		0	10	3.8000		false
