key	flag_model_skin_override
#military_force_types_tables;1;db/military_force_types_tables/data__	
ALBERIC	
ARMY	
ARMY_PILLAGING	
ARMY_UNIQUE_LOCKED_NO_UPKEEP	
ARMY_UNIQUE_NO_UPKEEP	
BLACK_PYRAMID_GROUNDED	
BLACK_PYRAMID_HOVERING	
BLOOD_HOST_ARMY	
CARAVAN	wh3_main_cth_cathay_cart/
CHAOTIC_PLAN_SCHEMERS	
CHARACTER_BOUND_HORDE	
CONVOY	wh3_dlc23_chd_chaos_dwarfs_cart/
DARK_FORTRESS	
DISCIPLE_ARMY	
DRAGONSHIP_HORDE	
DRAGONSHIP_HORDE_AISLINN	
HORDE	
HORDE_KHAZRAK	
HORDE_MALAGOR	
HORDE_MORGHUR	
HORDE_TAUROX	
LOKHIR	
MALAKAI_BOUND_HORDE	
NAKAI_BOUND_HORDE	
NAVAL_HORDE	
NAVY	
NURGLE_MARKED_ARMY	
OGRE_CAMP	
OXYOTL	
SEAFANG	
SEA_LOCKED_HORDE	
SPECIALIST_HORDE	
SUPPORT_ARMY	
