ability	group	tier	unique_id
#battle_purchasable_group_to_unit_abilities_tables;0;db/battle_purchasable_group_to_unit_abilities_tables/data__			
wh3_pro10_army_abilities_diabolical_puppetry	diabolical_puppetry_ability	0	1076870902
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_1	diabolical_puppetry_ability	1	1819169740
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_2	diabolical_puppetry_ability	2	1144629872
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_3	diabolical_puppetry_ability	3	1512819990
wh3_pro10_army_abilities_inevitable_fate	inevitable_fate_ability	0	70533860
wh3_pro10_army_abilities_inevitable_fate_upgrade_1	inevitable_fate_ability	1	1984603265
wh3_pro10_army_abilities_inevitable_fate_upgrade_2	inevitable_fate_ability	2	1761161896
wh3_pro10_army_abilities_inevitable_fate_upgrade_3	inevitable_fate_ability	3	1429063754
wh3_pro10_army_abilities_tempest_of_blue_flame	tempest_of_blue_flame_ability	0	1586275732
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_1	tempest_of_blue_flame_ability	1	1050100206
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_2	tempest_of_blue_flame_ability	2	392542435
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_3	tempest_of_blue_flame_ability	3	1060004411
wh3_supplies_replenishment_ability_recharge_01	replen_line_02	1	513668129
wh3_supplies_replenishment_ammunition_01	replen_line_01	3	1407734738
wh3_supplies_replenishment_encourage_01	replen_line_02	3	1852809669
wh3_supplies_replenishment_fatigue_01	replen_line_01	1	1213289705
wh3_supplies_replenishment_regen_01	replen_line_01	2	871371717
wh3_supplies_replenishment_winds_of_magic_01	replen_line_02	2	501976116
wh3_supplies_upgrade_armour_01	armour	1	2027713201
wh3_supplies_upgrade_armour_02	armour	2	959519992
wh3_supplies_upgrade_armour_03	armour	3	404442486
wh3_supplies_upgrade_missiles_01	missile	1	819153412
wh3_supplies_upgrade_missiles_02	missile	2	1277706989
wh3_supplies_upgrade_missiles_03	missile	3	802754381
wh3_supplies_upgrade_shields_01	shield	1	1652910499
wh3_supplies_upgrade_shields_02	shield	2	1037825486
wh3_supplies_upgrade_shields_03	shield	3	1311355967
wh3_supplies_upgrade_weapons_01	melee	1	488206129
wh3_supplies_upgrade_weapons_02	melee	2	896074098
wh3_supplies_upgrade_weapons_03	melee	3	1618233394
