key	content_pack
#ownership_content_pack_requirements_tables;0;db/ownership_content_pack_requirements_tables/data__	
core_base_beastmen_req	core_base_beastmen
core_base_beastmen_req_silence	core_base_beastmen
core_base_bretonnia_req	core_base_bretonnia
core_base_bretonnia_req_repanse	core_base_bretonnia
core_base_dark_elves_req	core_base_dark_elves
core_base_dark_elves_req_queen	core_base_dark_elves
core_base_dark_elves_req_shadow	core_base_dark_elves
core_base_dwarfs_req	core_base_dwarfs
core_base_dwarfs_req_king	core_base_dwarfs
core_base_dwarfs_req_tod	core_base_dwarfs
core_base_empire_req	core_base_empire
core_base_empire_req_grim	core_base_empire
core_base_empire_req_hunter	core_base_empire
core_base_empire_req_tod	core_base_empire
core_base_greenskins_req	core_base_greenskins
core_base_greenskins_req_king	core_base_greenskins
core_base_greenskins_req_warden	core_base_greenskins
core_base_high_elves_req	core_base_high_elves
core_base_high_elves_req_queen	core_base_high_elves
core_base_high_elves_req_warden	core_base_high_elves
core_base_lizardmen_req	core_base_lizardmen
core_base_lizardmen_req_hunter	core_base_lizardmen
core_base_lizardmen_req_prophet	core_base_lizardmen
core_base_lizardmen_req_silence	core_base_lizardmen
core_base_norsca_req	core_base_norsca
core_base_skaven_req	core_base_skaven
core_base_skaven_req_prophet	core_base_skaven
core_base_skaven_req_shadow	core_base_skaven
core_base_skaven_req_twilight	core_base_skaven
core_base_vampire_counts_req	core_base_vampire_counts
core_base_vampire_counts_req_grim	core_base_vampire_counts
core_base_wood_elves_req	core_base_wood_elves
core_base_wood_elves_req_twilight	core_base_wood_elves
wh1_base_game_req	wh1_base_game
wh1_beastmen_req	wh1_beastmen
wh1_bretonnia_free_req	wh1_bretonnia_free
wh1_chaos_req	wh1_chaos
wh1_grey_wizard_free_hunter_req	wh1_grey_wizard_free
wh1_grey_wizard_free_lords1_req	wh1_grey_wizard_free
wh1_grey_wizard_free_req	wh1_grey_wizard_free
wh1_grombrindal_lords2_req	wh1_grombrindal
wh1_grombrindal_req	wh1_grombrindal
wh1_grombrindal_tod_dwf_req	wh1_grombrindal
wh1_isabella_free_lords1_req	wh1_isabella_free
wh1_isabella_free_req	wh1_isabella_free
wh1_jade_wizard_free_hunter_req	wh1_jade_wizard_free
wh1_jade_wizard_free_lords1_req	wh1_jade_wizard_free
wh1_jade_wizard_free_req	wh1_jade_wizard_free
wh1_krell_free_req	wh1_krell_free
wh1_lords_and_units_1_req	wh1_lords_and_units_1
wh1_lords_and_units_2_free_lords2_req	wh1_lords_and_units_2_free
wh1_lords_and_units_2_free_req	wh1_lords_and_units_2_free
wh1_lords_and_units_2_free_warden_req	wh1_lords_and_units_2_free
wh1_lords_and_units_2_req	wh1_lords_and_units_2
wh1_norsca_req	wh1_norsca
wh1_regiments_of_renown_free_req	wh1_regiments_of_renown_free
wh1_wood_elves_req	wh1_wood_elves
wh2_amethyst_wizard_free_hunter_req	wh2_amethyst_wizard_free
wh2_amethyst_wizard_free_lords1_req	wh2_amethyst_wizard_free
wh2_amethyst_wizard_free_req	wh2_amethyst_wizard_free
wh2_amethyst_wizard_free_req_tod	wh2_amethyst_wizard_free
wh2_base_game_req	wh2_base_game
wh2_black_orc_big_boss_free_lords2_req	wh2_black_orc_big_boss_free
wh2_black_orc_big_boss_free_req	wh2_black_orc_big_boss_free
wh2_black_orc_big_boss_free_warden_req	wh2_black_orc_big_boss_free
wh2_bone_giant_free_req	wh2_bone_giant_free
wh2_dlc10_alith_anar_free_queen_req	wh2_dlc10_alith_anar_free
wh2_dlc10_alith_anar_free_req	wh2_dlc10_alith_anar_free
wh2_dlc10_alith_anar_free_warden_req	wh2_dlc10_alith_anar_free
wh2_dlc10_queen_crone_req	wh2_dlc10_queen_crone
wh2_dlc11_lokhir_free_queen_req	wh2_dlc11_lokhir_free
wh2_dlc11_lokhir_free_req	wh2_dlc11_lokhir_free
wh2_dlc11_lokhir_free_shadow_req	wh2_dlc11_lokhir_free
wh2_dlc11_vampire_coast_req	wh2_dlc11_vampire_coast
wh2_dlc12_prophet_req	wh2_dlc12_prophet
wh2_dlc12_tiktaqto_free_hunter_req	wh2_dlc12_tiktaqto_free
wh2_dlc12_tiktaqto_free_prophet_req	wh2_dlc12_tiktaqto_free
wh2_dlc12_tiktaqto_free_req	wh2_dlc12_tiktaqto_free
wh2_dlc12_tiktaqto_free_silence_req	wh2_dlc12_tiktaqto_free
wh2_dlc13_gor_rok_free_hunter_req	wh2_dlc13_gor_rok_free
wh2_dlc13_gor_rok_free_prophet_req	wh2_dlc13_gor_rok_free
wh2_dlc13_gor_rok_free_req	wh2_dlc13_gor_rok_free
wh2_dlc13_gor_rok_free_silence_req	wh2_dlc13_gor_rok_free
