key	left_click	right_click	mouse_on	mouse_off	drag_start	drag_stop	shortcut	panel_opened	panel_closed	double_left_click	mouse_on_off_cooldown	panel_opened_closed_cooldown
#audio_ui_categories_tables;3;db/audio_ui_categories_tables/data__												
UI_BAT_DOM_Reinforcements_Select	UI_BAT_DOM_Reinforcements_Select		UI_MSO_Generic_Small			UI_BAT_DOM_Reinforcements_Select	UI_BAT_DOM_Reinforcements_Select				true	true
UI_BAT_HUD_ADC_Hint_Tab	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small				true	true
UI_BAT_HUD_Ability_Button			UI_MSO_Generic_Small								true	true
UI_BAT_HUD_Cinematic_Mode	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small				true	true
UI_BAT_HUD_Deployment_End	UI_CLICK_Deployment_End		UI_MSO_Generic_Small			UI_CLICK_Deployment_End	UI_CLICK_Deployment_End				true	true
UI_BAT_HUD_Deployment_Gamble	UI_CLICK_Deployment_Gamble		UI_MSO_Generic_Small			UI_CLICK_Deployment_Gamble	UI_CLICK_Deployment_Gamble				true	true
UI_BAT_HUD_Deployment_Start	UI_CLICK_Deployment_Start		UI_MSO_Generic_Small			UI_CLICK_Deployment_Start	UI_CLICK_Deployment_Start				true	true
UI_BAT_HUD_End_Battle	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small				true	true
UI_BAT_HUD_Gate_Purchase	UI_BAT_HUD_Gate_Purchase	UI_BAT_HUD_Gate_Purchase	UI_MSO_Generic_Small			UI_BAT_HUD_Gate_Purchase	UI_BAT_HUD_Gate_Purchase				true	true
UI_BAT_HUD_Generic_Click	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small				true	true
UI_BAT_HUD_Group_Unit_Tab	UI_CLICK_Group_Unit_Tab		UI_MSO_Generic_Small			UI_CLICK_Group_Unit_Tab	UI_CLICK_Group_Unit_Tab				true	true
UI_BAT_HUD_Map_Expand_Drag	UI_CLICK_HUD_Click_01	UI_CLICK_HUD_Click_01	UI_MSO_Generic_Small			UI_CLICK_HUD_Click_01	UI_CLICK_HUD_Click_01				true	true
UI_BAT_HUD_Radial								UI_BAT_HUD_Radial_Open	UI_BAT_HUD_Radial_Close		true	true
