building_level	order	lifecycle_state
#building_levels_lifecycle_states_junctions_tables;0;db/building_levels_lifecycle_states_junctions_tables/data__		
wh3_main_nur_1_1	1	wh3_main_nur_1_1
wh3_main_nur_1_1	2	wh3_main_nur_1_2
wh3_main_nur_1_1	3	wh3_main_nur_1_3
wh3_main_nur_1_1	4	wh3_main_nur_1_4
wh3_main_nur_1_1	5	wh3_main_nur_1_5
wh3_main_nur_1_1	6	wh3_main_nur_1_6
wh3_main_nur_2_1	1	wh3_main_nur_2_1
wh3_main_nur_2_1	2	wh3_main_nur_2_2
wh3_main_nur_2_1	3	wh3_main_nur_2_3
wh3_main_nur_2_1	4	wh3_main_nur_2_4
wh3_main_nur_2_1	5	wh3_main_nur_2_5
wh3_main_nur_3_1	1	wh3_main_nur_3_1
wh3_main_nur_3_1	2	wh3_main_nur_3_2
wh3_main_nur_3_1	3	wh3_main_nur_3_3
wh3_main_nur_3_1	4	wh3_main_nur_3_4
wh3_main_nur_4_1	1	wh3_main_nur_4_1
wh3_main_nur_4_1	2	wh3_main_nur_4_2
wh3_main_nur_4_1	3	wh3_main_nur_4_3
wh3_main_nur_4_1	4	wh3_main_nur_4_4
wh3_main_nur_4_1	5	wh3_main_nur_4_5
wh3_main_nur_4_1	6	wh3_main_nur_4_6
wh3_main_nur_4_1	7	wh3_main_nur_4_7
wh3_main_nur_4_1	8	wh3_main_nur_4_8
wh3_main_nur_5_1	1	wh3_main_nur_5_1
wh3_main_nur_5_1	2	wh3_main_nur_5_2
wh3_main_nur_5_1	3	wh3_main_nur_5_3
wh3_main_nur_5_1	4	wh3_main_nur_5_4
wh3_main_nur_5_1	5	wh3_main_nur_5_5
wh3_main_nur_6_1	1	wh3_main_nur_6_1
wh3_main_nur_6_1	2	wh3_main_nur_6_2
wh3_main_nur_6_1	3	wh3_main_nur_6_3
wh3_main_nur_6_1	4	wh3_main_nur_6_4
wh3_main_nur_7_1	1	wh3_main_nur_7_1
wh3_main_nur_7_1	2	wh3_main_nur_7_2
wh3_main_nur_7_1	3	wh3_main_nur_7_3
wh3_main_nur_7_1	4	wh3_main_nur_7_4
wh3_main_nur_8_1	1	wh3_main_nur_8_1
wh3_main_nur_8_1	2	wh3_main_nur_8_2
wh3_main_nur_8_1	3	wh3_main_nur_8_3
wh3_main_nur_8_1	4	wh3_main_nur_8_4
wh3_main_nur_9_1	1	wh3_main_nur_9_1
wh3_main_nur_9_1	2	wh3_main_nur_9_2
wh3_main_nur_9_1	3	wh3_main_nur_9_3
wh3_main_nur_9_1	4	wh3_main_nur_9_4
