id	trigger_events	needs_tracking	refund_on_cancel	active_cooldown_can_be_increased	group	sort_order	ui_icon
#ritual_categories_tables;3;db/ritual_categories_tables/data__							
ARBAAL_TELEPORT	false	false	true	true		0	UI\skins\default\0_placeholder.png
ASCENSION_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
ATHEL_TAMARHA_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
BEASTMEN_RITUAL_ITEMS	false	false	true	true		0	UI\skins\default\0_placeholder.png
BEASTMEN_RITUAL_LORDS	false	false	true	true		0	UI\skins\default\0_placeholder.png
BEASTMEN_RITUAL_UNITS	false	false	true	true		0	UI\skins\default\0_placeholder.png
BEASTMEN_RITUAL_UPGRADES	false	false	true	true		0	UI\skins\default\0_placeholder.png
BEASTMEN_RITUAL_UPGRADES_GLOBAL_LORD_HERO	false	false	true	true		0	UI\skins\default\0_placeholder.png
BEASTMEN_RITUAL_UPGRADES_GLOBAL_UNIT	false	false	true	true		0	UI\skins\default\0_placeholder.png
BEASTMEN_RITUAL_UPGRADES_HERDSTONE	false	false	true	true		0	UI\skins\default\0_placeholder.png
BELAKOR_GREAT_GAME_USES	false	false	true	true		0	UI\skins\default\0_placeholder.png
BLACK_TOWER_CREATION	false	false	true	false		0	UI\skins\default\0_placeholder.png
BLOODLINE_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
BUILDINGS_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
CLOAK_OF_SKULLS	false	false	true	true		0	UI\skins\default\0_placeholder.png
COM_BEAST	false	false	true	true	college_of_magic	6	lore_beasts
COM_DEATH	false	false	true	true	college_of_magic	2	lore_death
COM_FIRE	false	false	true	true	college_of_magic	3	lore_fire
COM_HEAVENS	false	false	true	true	college_of_magic	4	lore_heavens
COM_LIFE	false	false	true	true	college_of_magic	5	lore_life
COM_LIGHT	false	false	true	true	college_of_magic	7	lore_light
COM_METAL	false	false	true	true	college_of_magic	1	lore_metal
COM_SHADOW	false	false	true	true	college_of_magic	8	lore_shadow
CRAFTING_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
CULT_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_BUFF_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_CRAFTING_ITEM	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_DRAGON_ITEM_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_DRAGON_REFORGED_ITEM_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_DREAMING_ITEM_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_DREAMING_REFORGED_ITEM_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_EAGLE_ITEM_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_EAGLE_REFORGED_ITEM_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_TWILIGHT_ITEM_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DAITH_TWILIGHT_REFORGED_ITEM_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DA_PLAN_YOOREEKA	false	false	true	true		0	UI\skins\default\0_placeholder.png
DEVOTEES_RITUAL	false	false	true	true		0	UI\skins\default\0_placeholder.png
DISTRICTS_INDUSTRY_T1	false	false	false	true	toz_tier_1	0	UI\skins\default\0_placeholder.png
DISTRICTS_INDUSTRY_T2	false	false	false	true	toz_tier_2	0	UI\skins\default\0_placeholder.png
DISTRICTS_INDUSTRY_T3	false	false	false	true	toz_tier_3	0	UI\skins\default\0_placeholder.png
DISTRICTS_MILITARY_T1	false	false	false	true	toz_tier_1	0	UI\skins\default\0_placeholder.png
DISTRICTS_MILITARY_T2	false	false	false	true	toz_tier_2	0	UI\skins\default\0_placeholder.png
DISTRICTS_MILITARY_T3	false	false	false	true	toz_tier_3	0	UI\skins\default\0_placeholder.png
DISTRICTS_SORCERY_T1	false	false	false	true	toz_tier_1	0	UI\skins\default\0_placeholder.png
DISTRICTS_SORCERY_T2	false	false	false	true	toz_tier_2	0	UI\skins\default\0_placeholder.png
DISTRICTS_SORCERY_T3	false	false	false	true	toz_tier_3	0	UI\skins\default\0_placeholder.png
DON_AMETHYST_ARMORY_ARTILLERY	true	false	true	false		0	UI\skins\default\0_placeholder.png
DON_AMETHYST_ARMORY_UNITS	true	false	true	false		0	UI\skins\default\0_placeholder.png
DON_GUNNERY_SCHOOL	true	false	true	false		0	UI\skins\default\0_placeholder.png
