unit_upgrade_group	x	y	category
#unit_upgrade_group_ui_infos_tables;1;db/unit_upgrade_group_ui_infos_tables/data__			
wh3_dlc20_chs_aspiring_champions	196	0	UNDIVIDED
wh3_dlc20_chs_chariot_kho	500	210	KHORNE
wh3_dlc20_chs_chariot_nur	500	210	NURGLE
wh3_dlc20_chs_chariot_sla	500	210	SLAANESH
wh3_dlc20_chs_chariot_tze	500	210	TZEENTCH
wh3_dlc20_chs_chariot_und	500	210	UNDIVIDED
wh3_dlc20_chs_chosen_kho	173	105	KHORNE
wh3_dlc20_chs_chosen_nur	173	105	NURGLE
wh3_dlc20_chs_chosen_sla	173	105	SLAANESH
wh3_dlc20_chs_chosen_tze	173	105	TZEENTCH
wh3_dlc20_chs_chosen_und	150	105	UNDIVIDED
wh3_dlc20_chs_doom_knights	398	0	TZEENTCH
wh3_dlc20_chs_forsaken_kho	85	210	KHORNE
wh3_dlc20_chs_forsaken_nur	85	210	NURGLE
wh3_dlc20_chs_forsaken_sla	85	210	SLAANESH
wh3_dlc20_chs_forsaken_tze	85	210	TZEENTCH
wh3_dlc20_chs_forsaken_und	85	210	UNDIVIDED
wh3_dlc20_chs_gorebeast_chariot_kho	500	0	KHORNE
wh3_dlc20_chs_gorebeast_chariot_und	500	0	UNDIVIDED
wh3_dlc20_chs_hellstriders	375	210	SLAANESH
wh3_dlc20_chs_knights_kho	375	105	KHORNE
wh3_dlc20_chs_knights_nur	375	105	NURGLE
wh3_dlc20_chs_knights_sla	375	105	SLAANESH
wh3_dlc20_chs_knights_tze	375	105	TZEENTCH
wh3_dlc20_chs_knights_und	375	105	UNDIVIDED
wh3_dlc20_chs_marauder_horsemasters	398	210	UNDIVIDED
wh3_dlc20_chs_marauder_horsemen_kho	398	315	KHORNE
wh3_dlc20_chs_marauder_horsemen_nur	398	315	NURGLE
wh3_dlc20_chs_marauder_horsemen_sla	398	315	SLAANESH
wh3_dlc20_chs_marauder_horsemen_tze	398	315	TZEENTCH
wh3_dlc20_chs_marauder_horsemen_und	375	315	UNDIVIDED
wh3_dlc20_chs_marauder_inf_kho	173	315	KHORNE
wh3_dlc20_chs_marauder_inf_nur	173	315	NURGLE
wh3_dlc20_chs_marauder_inf_sla	173	315	SLAANESH
wh3_dlc20_chs_marauder_inf_tze	173	315	TZEENTCH
wh3_dlc20_chs_marauder_inf_und	173	315	UNDIVIDED
wh3_dlc20_chs_skullcrushers	398	0	KHORNE
wh3_dlc20_chs_spawn_kho	85	105	KHORNE
wh3_dlc20_chs_spawn_nur	85	105	NURGLE
wh3_dlc20_chs_spawn_sla	85	105	SLAANESH
wh3_dlc20_chs_spawn_tze	85	105	TZEENTCH
wh3_dlc20_chs_spawn_und	85	105	UNDIVIDED
wh3_dlc20_chs_trolls	10	315	UNDIVIDED
wh3_dlc20_chs_trolls_armoured	10	210	UNDIVIDED
wh3_dlc20_chs_warriors_kho	150	210	KHORNE
wh3_dlc20_chs_warriors_nur	173	210	NURGLE
wh3_dlc20_chs_warriors_sla	173	210	SLAANESH
wh3_dlc20_chs_warriors_tze	173	210	TZEENTCH
wh3_dlc20_chs_warriors_und	150	210	UNDIVIDED
wh3_main_chs_bloodletters	10	315	KHORNE
wh3_main_chs_bloodletters_exalted	10	210	KHORNE
wh3_main_chs_daemonette	10	315	SLAANESH
wh3_main_chs_daemonette_exalted	10	210	SLAANESH
wh3_main_chs_pink_horrors	10	315	TZEENTCH
wh3_main_chs_pink_horrors_exalted	10	210	TZEENTCH
wh3_main_chs_plaguebearers	10	315	NURGLE
wh3_main_chs_plaguebearers_exalted	10	210	NURGLE
