key	battle_context	unit_attribute
#battle_context_unit_attribute_junctions_tables;0;db/battle_context_unit_attribute_junctions_tables/data__		
wh2_dlc09_effect_force_unit_attribute_causes_fear_during_subterranean	fighting_battle_type_subterranean	causes_fear
wh2_dlc12_effect_unbreakable_versus_skv	fighting_culture_skaven	unbreakable
wh2_dlc14_effect_unit_enable_attribute_immpsy_when_fighting_undead	fighting_culture_undead	immune_to_psychology
wh2_dlc16_effect_attribute_stalk_during_ambushes	fighting_force_status_yours_ambushing	stalk
wh2_dlc16_effect_fear_ambush_during_forest_battles	fighting_force_status_yours_ambushing_ground_type_forest	causes_fear
wh2_dlc16_effect_terror_ambush_during_forest_battles	fighting_force_status_yours_ambushing_ground_type_forest	causes_terror
wh2_dlc16_effect_vanguard_forest	fighting_ground_type_forest	guerrilla_deploy
wh2_dlc17_effect_fear_ambush	fighting_force_status_yours_ambushing	causes_fear
wh2_dlc17_effect_unit_enable_attribute_immpsy_when_fighting_chaos	fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	immune_to_psychology
wh2_main_effect_cause_fear_versus_brt	fighting_culture_empire_and_bretonnia	causes_fear
wh2_main_effect_cause_fear_versus_bst	fighting_culture_beastmen	causes_fear
wh2_main_effect_cause_fear_versus_chs	fighting_culture_daemons_chaos_norsca_chaos_dwarfs	causes_fear
wh2_main_effect_cause_fear_versus_cst	fighting_culture_vampire_coast	causes_fear
wh2_main_effect_cause_fear_versus_def	fighting_culture_darkelf	causes_fear
wh2_main_effect_cause_fear_versus_dwf	fighting_culture_dwarfs	causes_fear
wh2_main_effect_cause_fear_versus_emp	fighting_culture_empire_and_bretonnia	causes_fear
wh2_main_effect_cause_fear_versus_grn	fighting_culture_greenskins	causes_fear
wh2_main_effect_cause_fear_versus_hef	fighting_culture_highelf	causes_fear
wh2_main_effect_cause_fear_versus_human	fighting_culture_men	causes_fear
wh2_main_effect_cause_fear_versus_lzd	fighting_culture_lizardmen	causes_fear
wh2_main_effect_cause_fear_versus_rogue	fighting_culture_rogue_armies	causes_fear
wh2_main_effect_cause_fear_versus_skv	fighting_culture_skaven	causes_fear
wh2_main_effect_cause_fear_versus_tmb	fighting_culture_tomb_kings	causes_fear
wh2_main_effect_cause_fear_versus_vmp	fighting_culture_vampire_counts	causes_fear
wh2_main_effect_cause_fear_versus_wef	fighting_culture_wood_elves	causes_fear
wh2_main_effect_cause_terror_versus_brt	fighting_culture_bretonnia	causes_terror
wh2_main_effect_cause_terror_versus_bst	fighting_culture_beastmen	causes_terror
wh2_main_effect_cause_terror_versus_chs	fighting_culture_daemons_chaos_norsca_chaos_dwarfs	causes_terror
wh2_main_effect_cause_terror_versus_cst	fighting_culture_vampire_coast	causes_terror
wh2_main_effect_cause_terror_versus_def	fighting_culture_darkelf	causes_terror
wh2_main_effect_cause_terror_versus_dwf	fighting_culture_dwarfs	causes_terror
wh2_main_effect_cause_terror_versus_emp	fighting_culture_empire	causes_terror
wh2_main_effect_cause_terror_versus_grn	fighting_culture_greenskins	causes_terror
wh2_main_effect_cause_terror_versus_hef	fighting_culture_highelf	causes_terror
wh2_main_effect_cause_terror_versus_human	fighting_culture_empire_and_bretonnia	causes_terror
wh2_main_effect_cause_terror_versus_lzd	fighting_culture_lizardmen	causes_terror
wh2_main_effect_cause_terror_versus_rogue	fighting_culture_rogue_armies	causes_terror
wh2_main_effect_cause_terror_versus_skv	fighting_culture_skaven	causes_terror
wh2_main_effect_cause_terror_versus_vmp	fighting_culture_vampire_counts	causes_terror
wh2_main_effect_cause_terror_versus_wef	fighting_culture_wood_elves	causes_terror
wh3_dlc23_effect_attribute_enable_causes_fear_vs_chd	fighting_culture_chaos_dwarfs	causes_fear
wh3_dlc25_effect_attribute_enable_woodsman_vs_bst	fighting_culture_beastmen	ignore_trees
wh3_dlc25_effect_attribute_unbreakable_vs_undead	fighting_culture_undead	unbreakable
wh3_main_effect_attribute_enable_causes_fear_vs_cth	fighting_culture_cathay	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_dae	fighting_culture_daemons	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_kho	fighting_culture_khorne	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_ksl	fighting_culture_kislev	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_nur	fighting_culture_nurgle	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_ogr	fighting_culture_ogres	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_sla	fighting_culture_slaanesh	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_tze	fighting_culture_tzeentch	causes_fear
wh3_main_effect_attribute_enable_causes_terror_vs_ksl	fighting_culture_kislev	causes_terror
wh3_main_effect_unit_enable_attribute_immpsy_when_fighting_chaos_daemons	fighting_culture_daemons_chaos_chaos_dwarfs_norsca	immune_to_psychology
