key	special_ability_phase	unit_set
#unit_set_special_ability_phase_junctions_tables;0;db/unit_set_special_ability_phase_junctions_tables/data__		
big_uns_discouraged	wh_dlc06_unit_contact_discouraged	grn_all_big_uns
black_orcs_sundered_armour	wh_dlc06_unit_contact_sundered_armour	grn_black_orcs
blazing_sun_knights_flammable	wh2_dlc12_unit_contact_flammable	mp_cap_unit_emp_cav_knights_of_the_blazing_sun
blinded_chd_deathshrieker	wh3_dlc23_unit_contact_blinded	wh3_dlc23_chd_deathshrieker
boar_riders_dazed_attacks	wh2_dlc17_unit_contact_dazed	grn_boars
burnt_chd_iron_daemon	wh_main_unit_contact_morale	wh3_dlc23_chd_iron_daemon
dampened_chd_lammasu	wh2_pro08_unit_contact_dampen	wh3_dlc23_chd_lammasu
dazed_chd_deathshrieker	wh2_dlc17_unit_contact_dazed	wh3_dlc23_chd_deathshrieker
discouraged_wraiths	wh3_main_unit_contact_frostbite_upgraded	wh2_dlc11_vmp_cairn_wraith_hex_wraith_mourngul
disoriented_chd_hellcannon	wh3_main_unit_contact_disorientated	chs_hellcannon
dlc25_emp_helstorm_units_burnt	wh_main_unit_contact_morale	dlc25_emp_helstorm_units
emp_greatcannon_monstrous_impact	wh2_dlc11_unit_contact_monstrous_impact	emp_greatcannon
flammable_chd_kdaai	wh2_dlc12_unit_contact_flammable	wh3_dlc23_chd_category_kdaai_rank7
flammable_chd_warriors	wh2_dlc12_unit_contact_flammable	wh3_dlc23_chd_warriors
flammable_infernal_ironsworn	wh2_dlc12_unit_contact_flammable	wh3_dlc23_chd_infernal_ironsworn
flammable_squig_herd	wh2_dlc12_unit_contact_flammable	mp_cap_unit_grn_mon_squig_herd
frostbite_chd_flying_beasts	wh_dlc08_unit_contact_frostbite	wh3_dlc23_chd_category_flying_beasts
gnoblar_inf_poison_attacks	wh_main_unit_contact_poison	ogr_gnoblars
ogr_giant_dazed	wh2_dlc17_unit_contact_dazed	ogr_giant
poison_aspiring_champs	wh_main_unit_contact_poison	wh3_dlc20_chs_aspiring_champions_only
poison_chd_goblin_labourers	wh_main_unit_contact_poison	wh3_dlc23_chd_labourer_goblin
poison_chosen_of_nurgle	wh_main_unit_contact_poison	chosen_mnur
poison_skeletons	wh_main_unit_contact_poison	vmp_skeletal_inf
poison_zombies	wh_main_unit_contact_poison	vmp_zombies
poison_zombies_summoned	wh_main_unit_contact_poison	summoned_zombies
rock_lobber_dazed	wh2_dlc17_unit_contact_dazed	grn_rocklobber_no_ror
rogue_idol_dazed	wh2_dlc17_unit_contact_dazed	wh2_dlc15_grn_mon_rogue_idol
shieldbreaker_chd_fireglaives	wh2_dlc09_unit_contact_shieldbreaker	wh3_dlc23_chd_infernal_guard_fireglaives
skink_inf_poison_attacks	wh_main_unit_contact_poison	lzd_skinks
soporific_musk_aspiring_champs	wh3_main_unit_contact_soporific_musk	wh3_dlc20_chs_aspiring_champions_only
soporific_musk_chosen_of_slaanesh	wh3_main_unit_contact_soporific_musk	chosen_msla
soporific_musk_warriors_slaanesh	wh3_main_unit_contact_soporific_musk	wh3_dlc20_sla_warriors
sunder_armour_maneaters	wh2_dlc12_unit_contact_sundered_armour	ogr_maneaters_no_eshin
sundering_chd_infernal_guard_gw	wh_dlc06_unit_contact_sundered_armour	wh3_dlc23_chd_infernal_guard_gw
sundering_chd_melee_infantry	wh_dlc06_unit_contact_sundered_armour	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
sundering_chd_ork_labourers	wh_dlc06_unit_contact_sundered_armour	wh3_dlc23_chd_labourer_ork
suppressed_dwf_organ_guns	wh2_dlc12_unit_contact_suppressive_fire	dwf_organ_guns
suppressed_missiles_chd_missile_inf	wh2_dlc12_unit_contact_suppressive_fire	wh3_dlc23_chd_category_chaos_dwarf_missile_infantry
thorek_artifact_3_sundering	wh_dlc06_unit_contact_sundered_armour	wh2_dlc17_dwf_miners_longbeard_great_weapons
ungor_poison_attacks	wh_main_unit_contact_poison	bst_dlc03_ungors
warpflame_attacks_aspiring_champions	wh3_main_unit_contact_warpflame	wh3_dlc20_chs_aspiring_champions_only
warpflame_chosen_of_tzeentch	wh3_main_unit_contact_warpflame	chosen_mtze
warpflame_tzeentch_units	wh3_main_unit_contact_warpflame	wh3_dlc20_chs_tzeentch_marked_units
weakened_chd_hellcannon	wh2_dlc16_unit_contact_weakened	chs_hellcannon
weakened_chd_infernal_guard	wh2_dlc16_unit_contact_weakened	wh3_dlc23_chd_infernal_guard
wh2_dlc26_effect_contact_phase_poison_snagla_red_venom	wh2_dlc26_unit_contact_red_venom	wh3_dlc26_grn_snagla_grobspit
wh3_dlc24_effect_contact_phase_flammable_cth_moon_bird	wh2_dlc12_unit_contact_flammable	wh3_dlc24_cth_mon_great_moon_bird
wh3_dlc24_effect_force_stat_enable_demoralize_attacks_ostankya_spiders	wh_dlc06_unit_contact_discouraged	wh3_dlc24_ksl_mon_the_things_in_the_woods_no_ror
wh3_dlc24_effect_force_stat_enable_slow_death_attacks_ostankya_spiders	wh2_dlc17_unit_contact_slow_death	wh3_dlc24_ostankya_spiders
wh3_dlc25_emp_cav_outrider_morr_soulblight	wh3_dlc25_unit_contact_soulblight	wh3_dlc25_emp_cav_outrider_morr
wh3_dlc25_emp_inf_ironsides_morr_soulblight	wh3_dlc25_unit_contact_soulblight	wh3_dlc25_emp_inf_ironsides_morr
wh3_dlc25_gunnery_cavalry_disorientated	wh3_main_unit_contact_disorientated	wh3_dlc25_gunnery_cavalry
wh3_dlc25_helblasters_suppressive_fire	wh2_dlc12_unit_contact_suppressive_fire	wh3_dlc25_helblasters
wh3_dlc25_mortors_dazed	wh2_dlc17_unit_contact_dazed	wh3_dlc25_mortors
wh3_dlc25_nur_chieftain_ancillary_force_stat_frostbite_attacks	wh_dlc08_unit_contact_frostbite	wh3_dlc25_nur_chieftains_non_nurgle_units
wh3_dlc25_poison_all	wh_main_unit_contact_poison	all_units
wh3_dlc25_sundering_slayers	wh_dlc06_unit_contact_sundered_armour	dwf_slayers
