key	incident	is_positive	weight	target_culture	source_culture
#intrigue_actions_incidents_junctions_tables;1;db/intrigue_actions_incidents_junctions_tables/data__					
1001783988	wh3_dlc25_incident_machinations_hef_negative_2b	false	12.0000	wh2_main_hef_high_elves	wh_main_emp_empire
1006764938	wh2_main_incident_intrigue_any_positive_1b	true	5.0000	wh2_main_hef_high_elves	wh2_main_hef_high_elves
1024947657	wh3_dlc25_incident_machinations_any_positive_2b	true	5.0000	wh_main_brt_bretonnia	wh_main_emp_empire
1029254241	wh3_dlc25_incident_machinations_any_negative_3b	false	3.0000	wh_main_dwf_dwarfs	wh_main_emp_empire
1036183721	wh2_main_incident_intrigue_any_positive_3b	true	3.0000	wh_dlc03_bst_beastmen	wh2_main_hef_high_elves
1039598646	wh3_dlc25_incident_machinations_any_positive_1a	true	3.0000	wh3_main_ksl_kislev	wh_main_emp_empire
1051843800	wh2_main_incident_intrigue_any_negative_3a	false	3.0000	wh2_main_hef_high_elves	wh2_main_hef_high_elves
1058213546	wh3_dlc25_incident_machinations_any_negative_1b	false	5.0000	wh3_main_cth_cathay	wh_main_emp_empire
1066461839	wh2_main_incident_intrigue_any_negative_1b	false	5.0000	wh2_main_def_dark_elves	wh2_main_hef_high_elves
1067065896	wh2_main_incident_intrigue_any_negative_2b	false	6.0000	wh2_main_skv_skaven	wh2_main_hef_high_elves
1069630594	wh2_main_incident_intrigue_any_negative_3b	false	3.0000	wh_main_dwf_dwarfs	wh2_main_hef_high_elves
1084942655	wh3_dlc25_incident_machinations_any_positive_1a	true	3.0000	wh_main_brt_bretonnia	wh_main_emp_empire
1088067834	wh2_main_incident_intrigue_any_positive_3b	true	3.0000	wh_dlc05_wef_wood_elves	wh2_main_hef_high_elves
1099410657	wh2_main_incident_intrigue_any_positive_2a	true	6.0000	wh2_dlc09_tmb_tomb_kings	wh2_main_hef_high_elves
1103513689	wh3_dlc25_incident_machinations_any_positive_3a	true	5.0000	wh3_main_cth_cathay	wh_main_emp_empire
1107111615	wh2_main_incident_intrigue_any_negative_1c	false	5.0000	wh2_main_skv_skaven	wh2_main_hef_high_elves
1125955252	wh3_dlc25_incident_machinations_any_positive_2a	true	5.0000	wh_main_dwf_dwarfs	wh_main_emp_empire
1128464135	wh3_dlc25_incident_machinations_hef_negative_1c	false	10.0000	wh2_main_hef_high_elves	wh_main_emp_empire
1134415562	wh2_main_incident_intrigue_any_negative_2b	false	6.0000	wh_main_grn_greenskins	wh2_main_hef_high_elves
1137404312	wh2_main_incident_intrigue_hef_positive_2a	true	17.0000	wh2_main_hef_high_elves	wh2_main_hef_high_elves
1147726981	wh2_main_incident_intrigue_lzd_negative_2a	false	15.0000	wh2_main_lzd_lizardmen	wh2_main_hef_high_elves
1150283810	wh2_main_incident_intrigue_any_negative_1a	false	5.0000	wh2_main_skv_skaven	wh2_main_hef_high_elves
1150834235	wh2_main_incident_intrigue_any_negative_3a	false	3.0000	wh_main_chs_chaos	wh2_main_hef_high_elves
1151650571	wh2_main_incident_intrigue_any_positive_1b	true	5.0000	wh_main_brt_bretonnia	wh2_main_hef_high_elves
1157321093	wh2_main_incident_intrigue_any_positive_2a	true	6.0000	wh_main_emp_empire	wh2_main_hef_high_elves
