context	priority	profile
#cai_personality_strategic_profile_context_overrides_junctions_tables;0;db/cai_personality_strategic_profile_context_overrides_junctions_tables/data__		
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_aggressive
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_aggressive
cai_global_script_context_special_1	3	wh3_strategic_profile_aggressive
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_aggressive_opportunistic
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_aggressive_opportunistic
cai_global_script_context_special_1	3	wh3_strategic_profile_aggressive_opportunistic
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_aloof
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_aloof
cai_global_script_context_special_1	3	wh3_strategic_profile_aloof
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_chaos
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_chaos
cai_global_script_context_special_1	3	wh3_strategic_profile_chaos
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_chaos_aggressive
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_chaos_aggressive
cai_global_script_context_special_1	3	wh3_strategic_profile_chaos_aggressive
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_chaos_vengeful
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_chaos_vengeful
cai_global_script_context_special_1	3	wh3_strategic_profile_chaos_vengeful
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_cowardly
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_cowardly
cai_global_script_context_special_1	3	wh3_strategic_profile_cowardly
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_default
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_default
cai_global_script_context_special_1	3	wh3_strategic_profile_default
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_defensive
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_defensive
cai_global_script_context_special_1	3	wh3_strategic_profile_defensive
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_defensive_holds_grudges
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_defensive_holds_grudges
cai_global_script_context_special_1	3	wh3_strategic_profile_defensive_holds_grudges
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_frenzied
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_frenzied
cai_global_script_context_special_1	3	wh3_strategic_profile_frenzied
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_nurgle
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_nurgle
cai_global_script_context_special_1	3	wh3_strategic_profile_nurgle
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_opportunistic
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_opportunistic
cai_global_script_context_special_1	3	wh3_strategic_profile_opportunistic
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_rift_spawned
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_rift_spawned
cai_global_script_context_special_1	3	wh3_strategic_profile_rift_spawned
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_sentinel
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_sentinel
cai_global_script_context_special_1	3	wh3_strategic_profile_sentinel
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_vampire
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_vampire
cai_global_script_context_special_1	3	wh3_strategic_profile_vampire
cai_difficulty_context_type_very_hard	1	wh3_strategic_profile_vengeful
cai_difficulty_context_type_legendary	2	wh3_strategic_profile_vengeful
cai_global_script_context_special_1	3	wh3_strategic_profile_vengeful
