key	on_sea	required_subculture	own	ui_info	require_war_declaration_ability	region_group	force_faction_diplomatic_faction_set	region_ownership	force_region_owner_diplomatic_faction_set	garrisoned	besieging
#ritual_military_force_target_criterias_tables;0;db/ritual_military_force_target_criterias_tables/data__											
ritual_target_force_any	Undefined		Undefined	force_any	false			Undefined		Undefined	Undefined
ritual_target_force_any_but_allies	Undefined		Undefined	force_enemy	false		exclude_self_and_allies	Undefined		Undefined	Undefined
ritual_target_force_any_land	False		Undefined	force_any_land	false			Undefined		Undefined	Undefined
ritual_target_force_enemy	False		False	force_enemy	false		enemies	Undefined		Undefined	Undefined
ritual_target_force_enemy_own_territory	False		False	force_enemy_own_territory	false		enemies	Undefined	self	Undefined	Undefined
ritual_target_force_navy	True		False		false			Undefined		Undefined	Undefined
ritual_target_force_navy_any	True		Undefined		false			Undefined		Undefined	Undefined
ritual_target_force_navy_own	True		True		false			Undefined		Undefined	Undefined
ritual_target_force_neutral_allied	False		False	force_neutral_allied	false		exclude_self_and_enemies	Undefined		Undefined	Undefined
ritual_target_force_own	False		True	force_own	false			Undefined		Undefined	Undefined
ritual_target_force_own_allied	False		Undefined	force_own_allied	false		self_or_allied	Undefined		Undefined	Undefined
ritual_target_force_own_enemy_territory	False		True	force_own_enemy_territory	false			False	enemies	Undefined	Undefined
ritual_target_force_own_enemy_territory_not_besieging	False		True	force_own_enemy_territory_not_besieging	false			False	enemies	Undefined	False
ritual_target_force_own_land_or_sea	Undefined		True	force_own	false			Undefined		Undefined	Undefined
ritual_target_force_own_ungarrisoned	False		True	force_own_ungarrisoned	false			Undefined		False	Undefined
ritual_target_force_skv	False	wh2_main_sc_skv_skaven	False		false			Undefined		Undefined	Undefined
ritual_target_force_skv_not_sieging	False	wh2_main_sc_skv_skaven	False		false			Undefined		Undefined	False
wh2_dlc16_worldroots_teleport_athel_loren	False		True		false	wh2_dlc16_worldroots_teleport_athel_loren		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_emerald_pools_main	False		True		false	wh2_dlc16_worldroots_teleport_emerald_pools_main		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_forest_of_gloom	False		True		false	wh2_dlc16_worldroots_teleport_forest_of_gloom		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_gaean_vale_main	False		True		false	wh2_dlc16_worldroots_teleport_gaean_vale_main		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_gryphon_wood	False		True		false	wh2_dlc16_worldroots_teleport_gryphon_wood		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main	False		True		false	wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_jungles_of_chian	False		True		false	wh2_dlc16_worldroots_teleport_jungles_of_chian		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_laurelorn	False		True		false	wh2_dlc16_worldroots_teleport_laurelorn		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_the_haunted_forest	False		True		false	wh2_dlc16_worldroots_teleport_the_haunted_forest		Undefined		Undefined	Undefined
wh2_dlc16_worldroots_teleport_witchwood_main	False		True		false	wh2_dlc16_worldroots_teleport_witchwood_main		Undefined		Undefined	Undefined
