unit	source	cost
#unit_recruitment_source_overrides_tables;0;db/unit_recruitment_source_overrides_tables/data__		
wh2_dlc12_lzd_cav_ripperdactyl_riders_0_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_200
wh2_dlc12_lzd_mon_ancient_salamander_0_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_300
wh2_dlc12_lzd_mon_salamander_pack_0_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_150
wh2_dlc13_lzd_mon_razordon_pack_0_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_150
wh2_dlc13_lzd_mon_sacred_kroxigors_0_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_200
wh2_dlc17_lzd_inf_chameleon_stalkers_0_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_150
wh2_main_lzd_cav_cold_one_spearriders_blessed_0	blessed_spawning	wh3_main_lzd_sacred_spawning_100
wh2_main_lzd_cav_horned_ones_blessed_0	blessed_spawning	wh3_main_lzd_sacred_spawning_200
wh2_main_lzd_cav_terradon_riders_0_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_100
wh2_main_lzd_cav_terradon_riders_blessed_1	blessed_spawning	wh3_main_lzd_sacred_spawning_100
wh2_main_lzd_inf_chameleon_skinks_blessed_0	blessed_spawning	wh3_main_lzd_sacred_spawning_100
wh2_main_lzd_inf_saurus_spearmen_blessed_1	blessed_spawning	wh3_main_lzd_sacred_spawning_100
wh2_main_lzd_inf_saurus_warriors_blessed_1	blessed_spawning	wh3_main_lzd_sacred_spawning_100
wh2_main_lzd_inf_skink_cohort_1_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_50
wh2_main_lzd_inf_skink_skirmishers_blessed_0	blessed_spawning	wh3_main_lzd_sacred_spawning_50
wh2_main_lzd_inf_temple_guards_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_200
wh2_main_lzd_mon_ancient_stegadon_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_350
wh2_main_lzd_mon_bastiladon_blessed_2	blessed_spawning	wh3_main_lzd_sacred_spawning_250
wh2_main_lzd_mon_carnosaur_blessed_0	blessed_spawning	wh3_main_lzd_sacred_spawning_350
wh2_main_lzd_mon_kroxigors_blessed	blessed_spawning	wh3_main_lzd_sacred_spawning_150
wh2_main_lzd_mon_stegadon_blessed_1	blessed_spawning	wh3_main_lzd_sacred_spawning_250
wh3_dlc27_sla_cav_heartseekers_of_slaanesh_dechala	wh3_dlc27_sla_daemonic_attraction	wh3_dlc27_daemonic_attraction_thralls_cost_250
wh3_dlc27_sla_cav_pleasureseekers_dechala	wh3_dlc27_sla_daemonic_attraction	wh3_dlc27_daemonic_attraction_thralls_cost_350
wh3_dlc27_sla_inf_chaos_furies_dechala	wh3_dlc27_sla_daemonic_attraction	wh3_dlc27_daemonic_attraction_thralls_cost_75
wh3_dlc27_sla_inf_daemonette_1_dechala	wh3_dlc27_sla_daemonic_attraction	wh3_dlc27_daemonic_attraction_thralls_cost_150
wh3_dlc27_sla_mon_fiends_of_slaanesh_dechala	wh3_dlc27_sla_daemonic_attraction	wh3_dlc27_daemonic_attraction_thralls_cost_250
wh3_dlc27_sla_mon_keeper_of_secrets_dechala	wh3_dlc27_sla_daemonic_attraction	wh3_dlc27_daemonic_attraction_thralls_cost_350
wh3_dlc27_sla_veh_exalted_seeker_chariot_dechala	wh3_dlc27_sla_daemonic_attraction	wh3_dlc27_daemonic_attraction_thralls_cost_250
