factor	action_category_budget
#cai_finance_pooled_resource_upkeep_to_budget_junctions_tables;0;db/cai_finance_pooled_resource_upkeep_to_budget_junctions_tables/data__	
elven_trade_construction	construction
elven_trade_outposts	construction
elven_trade_technology	technologies
naval_supplies_construction	construction
naval_supplies_outposts	construction
wh3_dlc23_chd_armaments_construction	construction
wh3_dlc23_chd_armaments_technology	technologies
wh3_dlc23_chd_labour_construction	construction
wh3_dlc23_chd_labour_labour_actions	global
wh3_dlc23_chd_labour_missions	global
wh3_dlc23_chd_raw_materials_construction	construction
wh3_dlc23_chd_raw_materials_consumed	construction
wh3_dlc23_chd_raw_materials_technology	technologies
wh3_dlc27_hef_aislinn_focus_asur_domination	global
wh3_dlc27_kinfolk_buildings_negative	construction
wh3_dlc27_kinfolk_events	global
wh3_dlc27_kinfolk_factor	global
wh3_dlc27_nor_kinfolk_monstrous_arcanum	global
wh3_dlc27_nor_kinfolk_units	armies
wh3_dlc27_nor_spoils_buildings	construction
wh3_main_lzd_sacred_spawning_buildings	construction
wh3_main_lzd_sacred_spawning_commandments	global
wh3_main_lzd_sacred_spawning_missions	global
wh3_main_lzd_sacred_spawning_recruitment	armies
wh3_main_lzd_sacred_spawning_rites	global
wh3_main_nur_infections_factor_buildings	construction
wh3_main_nur_infections_factor_techs	technologies
