unit	upkeep_resource_cost
#main_unit_resource_costs_junctions_tables;0;db/main_unit_resource_costs_junctions_tables/data__	
wh3_main_ogr_cav_crushers_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cav_crushers_1	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cav_mournfang_cavalry_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cav_mournfang_cavalry_1	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cav_mournfang_cavalry_2	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_butcher_beasts_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_butcher_great_maw_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_firebelly_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_greasus_goldtooth_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_hunter_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_hunter_1	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_skrag_the_slaughterer_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_slaughtermaster_beasts_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_slaughtermaster_great_maw_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_cha_tyrant_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_gnoblars_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_gnoblars_1	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_ironguts_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_leadbelchers_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_maneaters_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_maneaters_1	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_maneaters_2	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_maneaters_3	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_maneaters_summoned_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_ogres_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_ogres_1	wh3_main_ogr_meat_upkeep
wh3_main_ogr_inf_ogres_2	wh3_main_ogr_meat_upkeep
wh3_main_ogr_mon_giant_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_mon_gorgers_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_mon_gorgers_summoned_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_mon_sabretusk_pack_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_mon_stonehorn_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_mon_stonehorn_1	wh3_main_ogr_meat_upkeep
wh3_main_ogr_veh_gnoblar_scraplauncher_0	wh3_main_ogr_meat_upkeep
wh3_main_ogr_veh_ironblaster_0	wh3_main_ogr_meat_upkeep
