key	text	tooltip
#Loc;1;text/db/cdir_events_categories__.loc		
cdir_events_categories_on_screen_name_Chaos_Map_Easy	Visions of the Old Ones (Easy)	false
cdir_events_categories_on_screen_name_Chaos_Map_Hard	Visions of the Old Ones (Hard)	false
cdir_events_categories_on_screen_name_Chaos_Map_Medium	Visions of the Old Ones (Normal)	false
cdir_events_categories_on_screen_name_Diplomatic	 	false
cdir_events_categories_on_screen_name_Disabled	 	false
cdir_events_categories_on_screen_name_Disaster	 	false
cdir_events_categories_on_screen_name_Domestic	 	false
cdir_events_categories_on_screen_name_Event	 	false
cdir_events_categories_on_screen_name_Faction	 	false
cdir_events_categories_on_screen_name_Family	 	false
cdir_events_categories_on_screen_name_Grudges	Grudge	false
cdir_events_categories_on_screen_name_Historical	 	false
cdir_events_categories_on_screen_name_Military	Mission	false
cdir_events_categories_on_screen_name_Objective	Chapter Objective	false
cdir_events_categories_on_screen_name_OgreContract	Contract	false
cdir_events_categories_on_screen_name_Political	 	false
cdir_events_categories_on_screen_name_Quest	Quest	false
cdir_events_categories_on_screen_name_Religious	 	false
cdir_events_categories_on_screen_name_Resolution	 	false
cdir_events_categories_on_screen_name_Ritual_Requirement	Ritual Requirement	false
cdir_events_categories_on_screen_name_Setback	 	false
cdir_events_categories_on_screen_name_TreasureHunt	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_Bretonnia	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_ChaosDwarfs	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_DarkElves	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_Dwarfs	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_Empire	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_Greenskins	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_HighElves	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_LizardMen	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_OgreKingdoms	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_Skaven	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_TombKings	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_VampireCounts	Treasure Map	false
cdir_events_categories_on_screen_name_TreasureHunt_WoodElves	Treasure Map	false
cdir_events_categories_on_screen_name_VictoryCondition	Victory Condition	false
cdir_events_categories_on_screen_name_alith_anar_assassination	Assassination Target	false
cdir_events_categories_on_screen_name_books_of_nagash	Book Mission	false
cdir_events_categories_on_screen_name_dark_moon	Dark Moon	false
cdir_events_categories_on_screen_name_grom_invasion	Grom Invasion	false
cdir_events_categories_on_screen_name_ikit_workshop	 	false
cdir_events_categories_on_screen_name_imperial_authority	Imperial Authority	false
cdir_events_categories_on_screen_name_nakai_target	Mission	false
cdir_events_categories_on_screen_name_piece_of_eight	Piece of Eight	false
cdir_events_categories_on_screen_name_placeholder	 	false
cdir_events_categories_on_screen_name_political_action_outcome	 	false
cdir_events_categories_on_screen_name_political_intrigue	 	false
cdir_events_categories_on_screen_name_treasure_hunt_coast	Treasure Map	false
cdir_events_categories_on_screen_name_tzarkans_whispers	Tz'arkan's Whispers	false
cdir_events_categories_on_screen_name_wulfharts_hunters	Hunters	false
