source_type	updates_only_when_ability_active
#special_ability_intensity_sources_tables;1;db/special_ability_intensity_sources_tables/data__	
all_wom_spent	true
allied_and_self_wom_spent	true
allied_wom_spent	true
capture_points_controlled_percentage	false
combined_time_in_melee_and_self_wom_spent	true
damage_taken	true
enemies_in_range	false
enemy_characters_in_range	true
enemy_in_range_low_morale	true
enemy_wom_spent	true
harmony	false
kills_made	true
mastery_of_elemental_winds	false
nearby_all_deaths	true
nearby_allied_deaths	true
nearby_enemy_deaths	true
time_active_relative_to_duration	true
time_in_melee	true
units_in_range	true
