source_type	updates_only_when_ability_active
#special_ability_intensity_sources_tables;1;db/special_ability_intensity_sources_tables/data__	
capture_points_controlled_percentage	false
combined_time_in_melee_and_ability_wind_up	true
damage_taken	true
enemies_in_range	false
enemy_in_range_low_morale	true
harmony	false
kills_made	true
mastery_of_elemental_winds	false
nearby_all_deaths	true
nearby_allied_deaths	true
nearby_enemy_deaths	true
time_active	true
time_active_relative_to_duration	true
time_if_moving	true
time_if_still	true
time_in_ability_wind_up	true
time_in_melee	true
units_in_range	true
vigour	true
