affected_stat	ground_type	affected_group	multiplier
#ground_type_to_stat_effects_tables;4;db/ground_type_to_stat_effects_tables/data__			
scalar_speed	deep_water		0.7000
scalar_speed	forest	aquatic_large	0.8000
scalar_speed	forest	large	0.8000
stat_accuracy	forest	elves_wef	1.5000
stat_accuracy	forest	elves_wef_large	1.5000
stat_melee_attack	forest	aquatic_large	0.8000
stat_melee_attack	forest	large	0.8000
stat_melee_attack	forest	small_forest_strider	1.1000
stat_melee_defence	forest	elves_wef	1.1500
stat_melee_defence	forest	elves_wef_large	1.1500
stat_melee_defence	forest	small_forest_strider	1.2000
scalar_speed	rock		0.9500
scalar_speed	rock	ethereal	1.0000
scalar_speed	scrub		0.9500
scalar_speed	scrub	ethereal	1.0000
scalar_speed	shallow_water	elves_wef	0.8000
scalar_speed	shallow_water	small	0.8000
scalar_speed	shallow_water	small_forest_strider	0.8000
stat_melee_attack	shallow_water	aquatic_large	1.2000
stat_melee_attack	shallow_water	aquatic_small	1.2000
stat_melee_attack	shallow_water	elves_wef	0.8000
stat_melee_attack	shallow_water	small	0.8000
stat_melee_attack	shallow_water	small_forest_strider	0.8000
stat_melee_defence	shallow_water	aquatic_large	1.2000
stat_melee_defence	shallow_water	aquatic_small	1.2000
scalar_speed	sharp_stones		0.7000
scalar_speed	sharp_stones	large	1.0000
scalar_speed	sharp_stones	large_bst	1.0000
scalar_speed	sharp_stones	small_strider	1.0000
