resource	strategic_component	trade_falloff	trade_value	ownership_falloff	ownership_value
#cai_personality_strategic_resource_values_tables;0;db/cai_personality_strategic_resource_values_tables/data__					
res_dyes	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_gems	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_gold	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_furs	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_glass	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_iron	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_lead	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_marble	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_oil	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_textiles	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_timber	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_rom_wine	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_savage	wh3_strategic_component_aggressive_opportunistic	0.2500	0.5000	0.2500	1.0000
res_dyes	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_gems	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_gold	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_furs	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_glass	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_iron	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_lead	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_marble	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_oil	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_textiles	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_timber	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_wine	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_savage	wh3_strategic_component_aggressive	0.2500	0.5000	0.2500	1.0000
res_dyes	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_gems	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_gold	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_furs	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_glass	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_iron	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_lead	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_marble	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_oil	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_textiles	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_timber	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_rom_wine	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_savage	wh3_strategic_component_aloof	0.2500	0.5000	0.2500	1.0000
res_dyes	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_gems	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_gold	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_furs	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_glass	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_iron	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_lead	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_marble	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_oil	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_textiles	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_timber	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_rom_wine	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_savage	wh3_strategic_component_chaos_aggressive	0.2500	0.5000	0.2500	1.0000
res_dyes	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_gems	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_gold	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_furs	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_glass	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_iron	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_lead	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_marble	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_oil	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_textiles	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_timber	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_rom_wine	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
res_savage	wh3_strategic_component_chaos_vengeful	0.2500	0.5000	0.2500	1.0000
