cai_construction_system_category	cai_construction_system_category_group	cai_construction_system_template	value
#cai_construction_system_templates_junctions_tables;0;db/cai_construction_system_templates_junctions_tables/data__			
	cai_military_group	cai_construction_system_template_basic_balanced	50.0
	cai_support_group	cai_construction_system_template_basic_balanced	50.0
	cai_military_group	cai_construction_system_template_basic_economic	25.0
	cai_support_group	cai_construction_system_template_basic_economic	75.0
	cai_military_group	cai_construction_system_template_basic_military	75.0
	cai_support_group	cai_construction_system_template_basic_military	25.0
	cai_basic_group	cai_construction_system_template_coc_balanced	100.0
	cai_military_group	cai_construction_system_template_economist_balanced	35.0
	cai_support_group	cai_construction_system_template_economist_balanced	65.0
	cai_military_group	cai_construction_system_template_economist_economic	20.0
	cai_support_group	cai_construction_system_template_economist_economic	80.0
	cai_military_group	cai_construction_system_template_economist_military	50.0
	cai_support_group	cai_construction_system_template_economist_military	50.0
	cai_military_group	cai_construction_system_template_militaristic_balanced	65.0
	cai_support_group	cai_construction_system_template_militaristic_balanced	35.0
	cai_military_group	cai_construction_system_template_militaristic_economic	50.0
	cai_support_group	cai_construction_system_template_militaristic_economic	50.0
	cai_military_group	cai_construction_system_template_militaristic_military	80.0
	cai_support_group	cai_construction_system_template_militaristic_military	20.0
