ministerial_key	capital_region	map_pos_x	map_pos_y	ancillary_reward	unit_reward
#elector_counts_tables;1;db/elector_counts_tables/data__					
wh2_main_minister_emp_averland	wh3_main_combi_region_averheim	0.6600	0.7500	wh2_dlc13_anc_weapon_runefang_averland	wh2_dlc13_emp_cav_pistoliers_ror_0
wh2_main_minister_emp_hochland	wh3_main_combi_region_hergig	0.5400	0.3300	wh2_dlc13_anc_weapon_runefang_hochland	wh2_dlc13_emp_inf_handgunners_ror_0
wh2_main_minister_emp_middenland	wh3_main_combi_region_middenheim	0.3400	0.4200	wh2_dlc13_anc_weapon_runefang_middenland	wh2_dlc13_emp_inf_swordsmen_ror_0
wh2_main_minister_emp_nordland	wh3_main_combi_region_salzenmund	0.3600	0.2200	wh2_dlc13_anc_weapon_runefang_nordland	wh2_dlc13_emp_inf_halberdiers_ror_0
wh2_main_minister_emp_ostermark	wh3_main_combi_region_bechafen	0.8100	0.4500	wh2_dlc13_anc_weapon_runefang_ostermark	wh2_dlc13_emp_cav_empire_knights_ror_0
wh2_main_minister_emp_ostland	wh3_main_combi_region_wolfenburg	0.6400	0.2300	wh2_dlc13_anc_weapon_runefang_ostland	wh2_dlc13_emp_cav_empire_knights_ror_2
wh2_main_minister_emp_reikland	wh3_main_combi_region_altdorf	0.2900	0.6100	wh2_dlc13_anc_weapon_runefang_reikland	wh2_dlc13_emp_inf_greatswords_ror_0
wh2_main_minister_emp_solland	wh3_main_combi_region_pfeildorf	0.5500	0.8300	wh2_dlc13_anc_weapon_runefang_solland	wh2_dlc13_emp_inf_spearmen_ror_0
wh2_main_minister_emp_stirland	wh3_main_combi_region_wurtbad	0.5700	0.6200	wh2_dlc13_anc_weapon_runefang_stirland	wh2_dlc13_emp_inf_crossbowmen_ror_0
wh2_main_minister_emp_sylvania	wh3_main_combi_region_castle_drakenhof	0.8100	0.6500	wh2_dlc13_anc_talisman_sylvania_journal	wh2_dlc13_emp_cav_empire_knights_ror_1
wh2_main_minister_emp_talabecland	wh3_main_combi_region_talabheim	0.6000	0.4800	wh2_dlc13_anc_weapon_runefang_talabecland	wh2_dlc13_emp_art_mortar_ror_0
wh2_main_minister_emp_wasteland	wh3_main_combi_region_marienburg	0.1700	0.3800	wh2_dlc13_anc_talisman_stadsraad_key	wh2_dlc13_emp_cav_outriders_ror_0
wh2_main_minister_emp_wissenland	wh3_main_combi_region_nuln	0.4200	0.7600	wh2_dlc13_anc_weapon_runefang_wissenland	wh2_dlc13_emp_veh_steam_tank_ror_0
